Arquivo;Numero_de_Linhas;Colunas
Agregados_por_setores_alfabetizacao_BR.csv;458772;CD_setor | V00644 | V00645 | V00646 | V00647 | V00648 | V00649 | V00650 | V00651 | V00652 | V00653 | V00654 | V00655 | V00656 | V00657 | V00658 | V00659 | V00660 | V00661 | V00662 | V00663 | V00664 | V00665 | V00666 | V00667 | V00668 | V00669 | V00670 | V00671 | V00672 | V00673 | V00674 | V00675 | V00676 | V00677 | V00678 | V00679 | V00680 | V00681 | V00682 | V00683 | V00684 | V00685 | V00686 | V00687 | V00688 | V00689 | V00690 | V00691 | V00692 | V00693 | V00694 | V00695 | V00696 | V00697 | V00698 | V00699 | V00700 | V00701 | V00702 | V00703 | V00704 | V00705 | V00706 | V00707 | V00708 | V00709 | V00710 | V00711 | V00712 | V00713 | V00714 | V00715 | V00716 | V00717 | V00718 | V00719 | V00720 | V00721 | V00722 | V00723 | V00724 | V00725 | V00726 | V00727 | V00728 | V00729 | V00730 | V00731 | V00732 | V00733 | V00734 | V00735 | V00736 | V00737 | V00738 | V00739 | V00740 | V00741 | V00742 | V00743 | V00744 | V00745 | V00746 | V00747 | V00748 | V00749 | V00750 | V00751 | V00752 | V00753 | V00754 | V00755 | V00756 | V00757 | V00758 | V00759 | V00760 | V00761 | V00762 | V00763 | V00764 | V00765 | V00766 | V00767 | V00768 | V00769 | V00770 | V00771 | V00772 | V00773 | V00774 | V00775 | V00776 | V00777 | V00778 | V00779 | V00780 | V00781 | V00782 | V00783 | V00784 | V00785 | V00786 | V00787 | V00788 | V00789 | V00790 | V00791 | V00792 | V00793 | V00794 | V00795 | V00796 | V00797 | V00798 | V00799 | V00800 | V00801 | V00802 | V00803 | V00804 | V00805 | V00806 | V00807 | V00808 | V00809 | V00810 | V00811 | V00812 | V00813 | V00814 | V00815 | V00816 | V00817 | V00818 | V00819 | V00820 | V00821 | V00822 | V00823 | V00824 | V00825 | V00826 | V00827 | V00828 | V00829 | V00830 | V00831 | V00832 | V00833 | V00834 | V00835 | V00836 | V00837 | V00838 | V00839 | V00840 | V00841 | V00842 | V00843 | V00844 | V00845 | V00846 | V00847 | V00848 | V00849 | V00850 | V00851 | V00852 | V00853 | V00854 | V00855 | V00856 | V00857 | V00858 | V00859 | V00860 | V00861 | V00862 | V00863 | V00864 | V00865 | V00866 | V00867 | V00868 | V00869 | V00870 | V00871 | V00872 | V00873 | V00874 | V00875 | V00876 | V00877 | V00878 | V00879 | V00880 | V00881 | V00882 | V00883 | V00884 | V00885 | V00886 | V00887 | V00888 | V00889 | V00890 | V00891 | V00892 | V00893 | V00894 | V00895 | V00896 | V00897 | V00898 | V00899 | V00900 | V00901 | V00902 | V00903 | V00904 | V00905 | V00906 | V00907 | V00908 | V00909 | V00910 | V00911 | V00912 | V00913 | V00914 | V00915 | V00916 | V00917 | V00918 | V00919 | V00920 | V00921 | V00922 | V00923 | V00924 | V00925 | V00926 | V00927 | V00928 | V00929 | V00930 | V00931 | V00932 | V00933 | V00934 | V00935 | V00936 | V00937 | V00938 | V00939 | V00940 | V00941 | V00942 | V00943 | V00944 | V00945 | V00946 | V00947 | V00948 | V00949 | V00950 | V00951 | V00952 | V00953 | V00954 | V00955 | V00956 | V00957 | V00958 | V00959 | V00960 | V00961 | V00962 | V00963 | V00964 | V00965 | V00966 | V00967 | V00968 | V00969 | V00970 | V00971 | V00972 | V00973 | V00974 | V00975 | V00976 | V00977 | V00978 | V00979 | V00980 | V00981 | V00982 | V00983 | V00984 | V00985 | V00986 | V00987 | V00988 | V00989 | V00990 | V00991 | V00992 | V00993 | V00994 | V00995 | V00996 | V00997 | V00998 | V00999 | V01000 | V01001 | V01002 | V01003 | V01004 | V01005
Agregados_por_setores_basico_BR_20250417.csv;468099;CD_SETOR | SITUACAO | CD_SIT | CD_TIPO | AREA_KM2 | CD_REGIAO | NM_REGIAO | CD_UF | NM_UF | CD_MUN | NM_MUN | CD_DIST | NM_DIST | CD_SUBDIST | NM_SUBDIST | CD_BAIRRO | NM_BAIRRO | CD_NU | NM_NU | CD_FCU | NM_FCU | CD_AGLOM | NM_AGLOM | CD_RGINT | NM_RGINT | CD_RGI | NM_RGI | CD_CONCURB | NM_CONCURB | v0001 | v0002 | v0003 | v0004 | v0005 | v0006 | v0007
Agregados_por_setores_caracteristicas_domicilio1_BR.csv;458772;CD_setor | V00001 | V00002 | V00003 | V00004 | V00005 | V00006 | V00007 | V00008 | V00009 | V00010 | V00011 | V00012 | V00013 | V00014 | V00015 | V00016 | V00017 | V00018 | V00019 | V00020 | V00021 | V00022 | V00023 | V00024 | V00025 | V00026 | V00027 | V00028 | V00029 | V00030 | V00031 | V00032 | V00033 | V00034 | V00035 | V00036 | V00037 | V00038 | V00039 | V00040 | V00041 | V00042 | V00043 | V00044 | V00045 | V00046 | V00047 | V00048 | V00049 | V00050 | V00051 | V00052 | V00053 | V00054 | V00055 | V00056 | V00057 | V00058 | V00059 | V00060 | V00061 | V00062 | V00063 | V00064 | V00065 | V00066 | V00067 | V00068 | V00069 | V00070 | V00071 | V00072 | V00073 | V00074 | V00075 | V00076 | V00077 | V00078 | V00079 | V00080 | V00081 | V00082 | V00083 | V00084 | V00085 | V00086 | V00087 | V00088 | V00089
Agregados_por_setores_caracteristicas_domicilio2_BR_20250417.csv;458772;setor | V00090 | V00091 | V00092 | V00093 | V00094 | V00095 | V00096 | V00097 | V00098 | V00099 | V00100 | V00101 | V00102 | V00103 | V00104 | V00105 | V00106 | V00107 | V00108 | V00109 | V00110 | V00111 | V00112 | V00113 | V00114 | V00115 | V00116 | V00117 | V00118 | V00119 | V00120 | V00121 | V00122 | V00123 | V00124 | V00125 | V00126 | V00127 | V00128 | V00129 | V00130 | V00131 | V00132 | V00133 | V00134 | V00135 | V00136 | V00137 | V00138 | V00139 | V00140 | V00141 | V00142 | V00143 | V00144 | V00145 | V00146 | V00147 | V00148 | V00149 | V00150 | V00151 | V00152 | V00153 | V00154 | V00155 | V00156 | V00157 | V00158 | V00159 | V00160 | V00161 | V00162 | V00163 | V00164 | V00165 | V00166 | V00167 | V00168 | V00169 | V00170 | V00171 | V00172 | V00173 | V00174 | V00175 | V00176 | V00177 | V00178 | V00179 | V00180 | V00181 | V00182 | V00183 | V00184 | V00185 | V00186 | V00187 | V00188 | V00189 | V00190 | V00191 | V00192 | V00193 | V00194 | V00195 | V00196 | V00197 | V00198 | V00199 | V00200 | V00201 | V00202 | V00203 | V00204 | V00205 | V00206 | V00207 | V00208 | V00209 | V00210 | V00211 | V00212 | V00213 | V00214 | V00215 | V00216 | V00217 | V00218 | V00219 | V00220 | V00221 | V00222 | V00223 | V00224 | V00225 | V00226 | V00227 | V00228 | V00229 | V00230 | V00231 | V00232 | V00233 | V00234 | V00235 | V00236 | V00237 | V00238 | V00239 | V00240 | V00241 | V00242 | V00243 | V00244 | V00245 | V00246 | V00247 | V00248 | V00249 | V00250 | V00251 | V00252 | V00253 | V00254 | V00255 | V00256 | V00257 | V00258 | V00259 | V00260 | V00261 | V00262 | V00263 | V00264 | V00265 | V00266 | V00267 | V00268 | V00269 | V00270 | V00271 | V00272 | V00273 | V00274 | V00275 | V00276 | V00277 | V00278 | V00279 | V00280 | V00281 | V00282 | V00283 | V00284 | V00285 | V00286 | V00287 | V00288 | V00289 | V00290 | V00291 | V00292 | V00293 | V00294 | V00295 | V00296 | V00297 | V00298 | V00299 | V00300 | V00301 | V00302 | V00303 | V00304 | V00305 | V00306 | V00307 | V00308 | V00309 | V00310 | V00311 | V00312 | V00313 | V00314 | V00315 | V00316 | V00317 | V00318 | V00319 | V00320 | V00321 | V00322 | V00323 | V00324 | V00325 | V00326 | V00327 | V00328 | V00329 | V00330 | V00331 | V00332 | V00333 | V00334 | V00335 | V00336 | V00337 | V00338 | V00339 | V00340 | V00341 | V00342 | V00343 | V00344 | V00345 | V00346 | V00347 | V00348 | V00349 | V00350 | V00351 | V00352 | V00353 | V00354 | V00355 | V00356 | V00357 | V00358 | V00359 | V00360 | V00361 | V00362 | V00363 | V00364 | V00365 | V00366 | V00367 | V00368 | V00369 | V00370 | V00371 | V00372 | V00373 | V00374 | V00375 | V00376 | V00377 | V00378 | V00379 | V00380 | V00381 | V00382 | V00383 | V00384 | V00385 | V00386 | V00387 | V00388 | V00389 | V00390 | V00391 | V00392 | V00393 | V00394 | V00395 | V00396 | V00397 | V00398 | V00399 | V00400 | V00401 | V00402 | V00403 | V00404 | V00405 | V00406 | V00407 | V00408 | V00409 | V00410 | V00411 | V00412 | V00413 | V00414 | V00415 | V00416 | V00417 | V00418 | V00419 | V00420 | V00421 | V00422 | V00423 | V00424 | V00425 | V00426 | V00427 | V00428 | V00429 | V00430 | V00431 | V00432 | V00433 | V00434 | V00435 | V00436 | V00437 | V00438 | V00439 | V00440 | V00441 | V00442 | V00443 | V00444 | V00445 | V00446 | V00447 | V00448 | V00449 | V00450 | V00451 | V00452 | V00453 | V00454 | V00455 | V00456 | V00457 | V00458 | V00459 | V00460 | V00461 | V00462 | V00463 | V00464 | V00465 | V00466 | V00467 | V00468 | V00469 | V00470 | V00471 | V00472 | V00473 | V00474 | V00475 | V00476 | V00477 | V00478 | V00479 | V00480 | V00481 | V00482 | V00483 | V00484 | V00485 | V00486 | V00487 | V00488 | V00489 | V00490 | V00491 | V00492 | V00493 | V00494 | V00495
Agregados_por_setores_caracteristicas_domicilio3_BR_20250417.csv;458772;setor | V00496 | V00497 | V00498 | V00499 | V00500 | V00501 | V00502 | V00503 | V00504 | V00505 | V00506 | V00507 | V00508 | V00509 | V00510 | V00511 | V00512 | V00513 | V00514 | V00515 | V00516 | V00517 | V00518 | V00519 | V00520 | V00521 | V00522 | V00523 | V00524 | V00525 | V00526 | V00527 | V00528 | V00529 | V00530 | V00531 | V00532 | V00533 | V00534 | V00535 | V00536 | V00537 | V00538 | V00539 | V00540 | V00541 | V00542 | V00543 | V00544 | V00545 | V00546 | V00547 | V00548 | V00549 | V00550 | V00551 | V00552 | V00553 | V00554 | V00555 | V00556 | V00557 | V00558 | V00559 | V00560 | V00561 | V00562 | V00563 | V00564 | V00565 | V00566 | V00567 | V00568 | V00569 | V00570 | V00571 | V00572 | V00573 | V00574 | V00575 | V00576 | V00577 | V00578 | V00579 | V00580 | V00581 | V00582 | V00583 | V00584 | V00585 | V00586 | V00587 | V00588 | V00589 | V00590 | V00591 | V00592 | V00593 | V00594 | V00595 | V00596 | V00597 | V00598 | V00599 | V00600 | V00601 | V00602 | V00603 | V00604 | V00605 | V00606 | V00607 | V00608 | V00609 | V00610 | V00611 | V00612 | V00613 | V00614 | V00615 | V00616 | V00617 | V00618 | V00619 | V00620 | V00621 | V00622 | V00623 | V00624 | V00625 | V00626 | V00627 | V00628 | V00629 | V00630 | V00631 | V00632 | V00633 | V00634 | V00635 | V00636 | V00637 | V00638 | V00639 | V00640 | V00641 | V00642 | V00643
Agregados_por_setores_cor_ou_raca_BR.csv;458772;CD_SETOR | V01317 | V01318 | V01319 | V01320 | V01321 | V01322 | V01323 | V01324 | V01325 | V01326 | V01327 | V01328 | V01329 | V01330 | V01331 | V01332 | V01333 | V01334 | V01335 | V01336 | V01337 | V01338 | V01339 | V01340 | V01341 | V01342 | V01343 | V01344 | V01345 | V01346 | V01347 | V01348 | V01349 | V01350 | V01351 | V01352 | V01353 | V01354 | V01355 | V01356 | V01357 | V01358 | V01359 | V01360 | V01361 | V01362 | V01363 | V01364 | V01365 | V01366 | V01367 | V01368 | V01369 | V01370 | V01371 | V01372 | V01373 | V01374 | V01375 | V01376 | V01377 | V01378 | V01379 | V01380 | V01381 | V01382 | V01383 | V01384 | V01385 | V01386 | V01387 | V01388 | V01389 | V01390 | V01391 | V01392 | V01393 | V01394 | V01395 | V01396 | V01397 | V01398 | V01399 | V01400 | V01401 | V01402 | V01403 | V01404 | V01405 | V01406 | V01407 | V01408 | V01409 | V01410 | V01411
Agregados_por_setores_demografia_BR.csv;458772;CD_setor | V01006 | V01007 | V01008 | V01009 | V01010 | V01011 | V01012 | V01013 | V01014 | V01015 | V01016 | V01017 | V01018 | V01019 | V01020 | V01021 | V01022 | V01023 | V01024 | V01025 | V01026 | V01027 | V01028 | V01029 | V01030 | V01031 | V01032 | V01033 | V01034 | V01035 | V01036 | V01037 | V01038 | V01039 | V01040 | V01041
Agregados_por_setores_domicilios_indigenas_BR.csv;458772;CD_SETOR | V01500 | V01501 | V01502 | V01503 | V01504 | V01505 | V01506 | V01507 | V01508 | V01509 | V01510 | V01511 | V01512 | V01513 | V01514 | V01515 | V01516 | V01517 | V01518 | V01519 | V01520 | V01521 | V01522 | V01523 | V01524 | V01525 | V01526 | V01527 | V01528 | V01529 | V01530 | V01531 | V01532 | V01533 | V01534 | V01535 | V01536 | V01537 | V01538 | V01539 | V01540 | V01541 | V01542 | V01543 | V01544 | V01545 | V01546 | V01547 | V01548 | V01549 | V01550 | V01551 | V01552 | V01553 | V01554 | V01555 | V01556 | V01557 | V01558 | V01559 | V01560 | V01561 | V01562 | V01563 | V01564 | V01565 | V01566 | V01567 | V01568 | V01569 | V01570 | V01571 | V01572 | V01573 | V01574 | V01575 | V01576 | V01577 | V01578 | V01579 | V01580 | V01581 | V01582 | V01583 | V01584 | V01585 | V01586 | V01587 | V01588 | V01589 | V01590 | V01591 | V01592 | V01593 | V01594 | V01595 | V01596 | V01597 | V01598 | V01599 | V01600 | V01601 | V01602 | V01603 | V01604 | V01605 | V01606 | V01607 | V01608 | V01609 | V01610 | V01611 | V01612 | V01613 | V01614 | V01615 | V01616 | V01617 | V01618 | V01619 | V01620 | V01621 | V01622 | V01623 | V01624 | V01625 | V01626 | V01627 | V01628 | V01629 | V01630 | V01631 | V01632 | V01633 | V01634 | V01635 | V01636 | V01637 | V01638 | V01639 | V01640 | V01641 | V01642 | V01643 | V01644 | V01645 | V01646 | V01647 | V01648 | V01649 | V01650 | V01651 | V01652 | V01653 | V01654 | V01655 | V01656 | V01657 | V01658 | V01659 | V01660 | V01661 | V01662 | V01663 | V01664 | V01665 | V01666 | V01667 | V01668 | V01669 | V01670 | V01671 | V01672 | V01673 | V01674 | V01675 | V01676 | V01677 | V01678 | V01679 | V01680 | V01681 | V01682 | V01683 | V01684 | V01685 | V01686 | V01687 | V01688 | V01689
Agregados_por_setores_domicilios_quilombolas_BR.csv;458772;CD_SETOR | V03000 | V03001 | V03002 | V03003 | V03004 | V03005 | V03006 | V03007 | V03008 | V03009 | V03010 | V03011 | V03012 | V03013 | V03014 | V03015 | V03016 | V03017 | V03018 | V03019 | V03020 | V03021 | V03022 | V03023 | V03024 | V03025 | V03026 | V03027 | V03028 | V03029 | V03030 | V03031 | V03032 | V03033 | V03034 | V03035 | V03036 | V03037 | V03038 | V03039 | V03040 | V03041 | V03042 | V03043 | V03044 | V03045 | V03046 | V03047 | V03048 | V03049 | V03050 | V03051 | V03052 | V03053 | V03054 | V03055 | V03056 | V03057 | V03058 | V03059 | V03060 | V03061 | V03062 | V03063 | V03064 | V03065 | V03066 | V03067 | V03068 | V03069 | V03070 | V03071 | V03072 | V03073 | V03074 | V03075 | V03076 | V03077 | V03078 | V03079 | V03080 | V03081 | V03082 | V03083 | V03084 | V03085 | V03086 | V03087 | V03088 | V03089 | V03090 | V03091 | V03092 | V03093 | V03094 | V03095 | V03096 | V03097 | V03098 | V03099 | V03100 | V03101 | V03102 | V03103 | V03104 | V03105 | V03106 | V03107 | V03108 | V03109 | V03110 | V03111 | V03112 | V03113 | V03114 | V03115 | V03116 | V03117 | V03118 | V03119 | V03120 | V03121 | V03122 | V03123 | V03124 | V03125 | V03126 | V03127 | V03128 | V03129 | V03130 | V03131 | V03132 | V03133 | V03134 | V03135 | V03136 | V03137 | V03138 | V03139 | V03140 | V03141 | V03142 | V03143 | V03144 | V03145 | V03146 | V03147 | V03148 | V03149 | V03150 | V03151 | V03152 | V03153 | V03154 | V03155 | V03156 | V03157 | V03158 | V03159 | V03160 | V03161 | V03162 | V03163 | V03164 | V03165 | V03166 | V03167 | V03168 | V03169 | V03170 | V03171 | V03172 | V03173 | V03174 | V03175 | V03176 | V03177 | V03178 | V03179 | V03180 | V03181 | V03182 | V03183 | V03184 | V03185 | V03186 | V03187 | V03188 | V03189 | V03190 | V03191 | V03192 | V03193 | V03194 | V03195
Agregados_por_setores_obitos_BR.csv;458772;CD_SETOR | V01224 | V01225 | V01226 | V01227 | V01228 | V01229 | V01230 | V01231 | V01232 | V01233 | V01234 | V01235 | V01236 | V01237 | V01238 | V01239 | V01240 | V01241 | V01242 | V01243 | V01244 | V01245 | V01246 | V01247 | V01248 | V01249 | V01250 | V01251 | V01252 | V01253 | V01254 | V01255 | V01256 | V01257 | V01258 | V01259 | V01260 | V01261 | V01262 | V01263 | V01264 | V01265 | V01266 | V01267 | V01268 | V01269 | V01270 | V01271 | V01272 | V01273 | V01274 | V01275 | V01276 | V01277 | V01278 | V01279 | V01280 | V01281 | V01282 | V01283 | V01284 | V01285 | V01286 | V01287 | V01288 | V01289 | V01290 | V01291 | V01292 | V01293 | V01294 | V01295 | V01296 | V01297 | V01298 | V01299 | V01300 | V01301 | V01302 | V01303 | V01304 | V01305 | V01306 | V01307 | V01308 | V01309 | V01310 | V01311 | V01312 | V01313 | V01314 | V01315 | V01316
