CD_UF;CD_MUN;NM_MUN;variavel;n;media;dp;p25;mediana;p75
13;1300300;Autazes;pct_agua_nao_encanada;37.0;0.05484810705889112;0.0788946592466703;0.0;0.02824858757062147;0.058823529411764705
13;1300300;Autazes;pct_agua_so_terreno;33.0;0.09694698593663431;0.09055623594408801;0.024793388429752067;0.08695652173913043;0.16455696202531644
13;1300300;Autazes;pct_sem_agua_canalizada;43.0;0.1323423345836787;0.12200679747150896;0.03885287910762736;0.09375;0.19711236660389203
13;1302603;Manaus;pct_agua_nao_encanada;2478.0;0.013202197210039084;0.06893367529955524;0.0;0.0;0.0
13;1302603;Manaus;pct_agua_so_terreno;2260.0;0.022011864820093333;0.08503134666715147;0.0;0.0;0.012725387666786873
13;1302603;Manaus;pct_sem_agua_canalizada;3088.0;0.028529318492969805;0.09405528257434917;0.0;0.004618962280252603;0.017142857142857126
15;1500800;Ananindeua;pct_agua_nao_encanada;564.0;0.018917112504038113;0.06644148162141192;0.0;0.0;0.013605653009359698
15;1500800;Ananindeua;pct_agua_so_terreno;535.0;0.024199118787219004;0.07974055519724005;0.0;0.0;0.0220281416787967
15;1500800;Ananindeua;pct_sem_agua_canalizada;732.0;0.03665651232725801;0.09426588414400713;0.0;0.008000000000000007;0.03325027685492801
15;1501402;Belém;pct_agua_nao_encanada;1554.0;0.019036371272215562;0.06669916303209504;0.0;0.0;0.01079136690647482
15;1501402;Belém;pct_agua_so_terreno;1537.0;0.049092855886415654;0.10889674885493175;0.0;0.013574660633484163;0.04710144927536232
15;1501402;Belém;pct_sem_agua_canalizada;2001.0;0.05513111763222559;0.11519649070949772;0.0;0.013745704467353903;0.052000000000000046
15;1505650;Placas;pct_agua_nao_encanada;15.0;0.004281345565749235;0.011430695471173816;0.0;0.0;0.0
15;1505650;Placas;pct_agua_so_terreno;11.0;0.08579737215207149;0.11661150665675366;0.02;0.04794520547945205;0.08088836406576438
15;1505650;Placas;pct_sem_agua_canalizada;16.0;0.07141299034874948;0.11015941526832505;0.006885867554568992;0.04348993288590608;0.07749428789032745
15;1505809;Portel;pct_agua_nao_encanada;21.0;0.08886044741399568;0.22892601913743324;0.0;0.01509433962264151;0.030973451327433628
15;1505809;Portel;pct_agua_so_terreno;20.0;0.07816317256047575;0.0946274786602202;0.012910279088050316;0.038544073951799276;0.09977459715862946
15;1505809;Portel;pct_sem_agua_canalizada;26.0;0.13469341776776148;0.23717101560318365;0.019395541434449742;0.03854407395179926;0.09883383396016862
21;2109601;Rosário;pct_agua_nao_encanada;25.0;0.10912296632642757;0.16147958422331132;0.013559322033898305;0.030864197530864196;0.16336633663366337
21;2109601;Rosário;pct_agua_so_terreno;32.0;0.06415887217469333;0.0759394024399735;0.01385855601233299;0.048410997327405995;0.07855312816421711
21;2109601;Rosário;pct_sem_agua_canalizada;36.0;0.13546382974810323;0.17950463590759702;0.01775057226945717;0.06304411103172713;0.1732595559856421
21;2111201;São José de Ribamar;pct_agua_nao_encanada;462.0;0.007800622424384821;0.02757257977512353;0.0;0.0;0.0
21;2111201;São José de Ribamar;pct_agua_so_terreno;437.0;0.05777747971657732;0.10969036922086205;0.0;0.0;0.06779661016949153
21;2111201;São José de Ribamar;pct_sem_agua_canalizada;580.0;0.05531256777103232;0.10978506226189093;0.0;0.010309278350515427;0.046579627362981074
21;2111300;São Luís;pct_agua_nao_encanada;1318.0;0.01635131785493878;0.06543252210328772;0.0;0.0;0.0
21;2111300;São Luís;pct_agua_so_terreno;1375.0;0.06793751905070677;0.11234072217417868;0.0;0.02112676056338028;0.0855735414558944
21;2111300;São Luís;pct_sem_agua_canalizada;1674.0;0.07204058513958275;0.13038649996478194;0.0;0.016892663105510686;0.07602156230447127
21;2111631;São Raimundo do Doca Bezerra;pct_agua_nao_encanada;3.0;0.0;0.0;0.0;0.0;0.0
21;2111631;São Raimundo do Doca Bezerra;pct_agua_so_terreno;3.0;0.030396353703024907;0.0201958254026632;0.01904585798816568;0.023668639053254437;0.0383829920929989
21;2111631;São Raimundo do Doca Bezerra;pct_sem_agua_canalizada;3.0;0.030396353703024886;0.020195825402663202;0.01904585798816566;0.023668639053254448;0.03838299209299889
22;2211001;Teresina;pct_agua_nao_encanada;1214.0;0.0010410770235516162;0.01033811985517633;0.0;0.0;0.0
22;2211001;Teresina;pct_agua_so_terreno;1068.0;0.011253807462675782;0.04299105618633152;0.0;0.0;0.0
22;2211001;Teresina;pct_sem_agua_canalizada;1368.0;0.012510120019222125;0.04441379524919835;0.0;0.0;0.007054739786235137
23;2304400;Fortaleza;pct_agua_nao_encanada;3158.0;0.006920910536437443;0.027601281112481793;0.0;0.0;0.0
23;2304400;Fortaleza;pct_agua_so_terreno;3215.0;0.004949720556632769;0.02897292074950986;0.0;0.0;0.0
23;2304400;Fortaleza;pct_sem_agua_canalizada;4280.0;0.013571457077711077;0.03837063904941331;0.0;0.0037174721189591198;0.013986013986013957
23;2304905;Groaíras;pct_agua_nao_encanada;9.0;0.005595068752963489;0.012540995866297974;0.0;0.0;0.0
23;2304905;Groaíras;pct_agua_so_terreno;10.0;0.004210526315789474;0.013314853305972122;0.0;0.0;0.0
23;2304905;Groaíras;pct_sem_agua_canalizada;14.0;0.010886039338037732;0.02068160220622686;0.0;0.0050285372364908265;0.01152378156194947
23;2307601;Limoeiro do Norte;pct_agua_nao_encanada;86.0;0.0024690666768325477;0.015717714180597114;0.0;0.0;0.0
23;2307601;Limoeiro do Norte;pct_agua_so_terreno;74.0;0.004268644452573265;0.015369358834225286;0.0;0.0;0.0
23;2307601;Limoeiro do Norte;pct_sem_agua_canalizada;97.0;0.00822891778915311;0.023882833465438874;0.0;0.0;0.005681818181818232
24;2408102;Natal;pct_agua_nao_encanada;886.0;0.0015190202807682806;0.012933212528789895;0.0;0.0;0.0
24;2408102;Natal;pct_agua_so_terreno;801.0;0.005372740530962727;0.03434521323223746;0.0;0.0;0.0
