tabela;linha;coluna;antes;depois;delta
descritivas_globais;renda_media;n;104096.0;104095.0;-1.0
descritivas_globais;renda_media;media;4187.4094;4185.8124;-1.5969999999997526
descritivas_globais;renda_media;dp;4150.6562;4118.5739;-32.08230000000003
descritivas_globais;renda_media;cv_pct;99.1223;98.3937;-0.7286000000000001
descritivas_globais;renda_media;p25;1752.4775;1752.475;-0.0025000000000545697
descritivas_globais;renda_media;p75;4835.885;4835.825;-0.06000000000040018
descritivas_globais;renda_media;max;170418.06;140172.64;-30245.419999999984
descritivas_globais;renda_media;iq;3083.4075;3083.35;-0.05749999999989086
descritivas_globais;renda_media;assim;3.7395;3.1971;-0.5424000000000002
descritivas_globais;renda_media;curt;49.4928;25.6581;-23.8347
descritivas_por_regiao;Sudeste;n;61978.0;61977.0;-1.0
descritivas_por_regiao;Sudeste;media;4490.817569137435;4488.140330122465;-2.677239014970837
descritivas_por_regiao;Sudeste;dp;4411.462870764046;4360.857421003603;-50.60544976044275
descritivas_por_regiao;Sudeste;p25;1892.6575;1892.65;-0.007499999999936335
descritivas_por_regiao;Sudeste;mediana;2730.5950000000003;2730.59;-0.005000000000109139
descritivas_por_regiao;Sudeste;p75;5217.205;5217.19;-0.015000000000327418
outliers;renda_media;n_validos;104096.0;104095.0;-1.0
outliers;renda_media;q1;1752.4775;1752.475;-0.0025000000000545697
outliers;renda_media;q3;4835.885;4835.825000000001;-0.05999999999949068
outliers;renda_media;iq;3083.4075000000003;3083.350000000001;-0.05749999999943611
outliers;renda_media;lim_inf;-2872.63375;-2872.5500000000015;0.08374999999841748
outliers;renda_media;lim_sup;9460.99625;9460.850000000002;-0.14624999999796273
outliers;renda_media;n_outliers;10469.0;10468.0;-1.0
outliers;renda_media;p95;12896.31;12896.118;-0.19199999999909778
correlacao_pearson;renda_media;pct_esgoto_inad;-0.216;-0.218;-0.0020000000000000018
correlacao_pearson;renda_media;pct_lixo_inad;-0.086;-0.087;-0.0010000000000000009
correlacao_pearson;renda_media;razao_moradores;-0.323;-0.326;-0.0030000000000000027
correlacao_pearson;renda_media;pct_analfab;-0.418;-0.424;-0.006000000000000005
correlacao_pearson;pct_esgoto_inad;renda_media;-0.216;-0.218;-0.0020000000000000018
correlacao_pearson;pct_lixo_inad;renda_media;-0.086;-0.087;-0.0010000000000000009
correlacao_pearson;razao_moradores;renda_media;-0.323;-0.326;-0.0030000000000000027
correlacao_pearson;pct_analfab;renda_media;-0.418;-0.424;-0.006000000000000005
correlacao_pearson;pct_raca_pretpardind;renda_media;-0.682;-0.687;-0.0050000000000000044
correlacao_pearson;pct_idoso_60mais;renda_media;0.377;0.38;0.0030000000000000027
correlacao_pearson;pct_crianca_0a4;renda_media;-0.297;-0.299;-0.0020000000000000018
correlacao_pearson;pct_resp_feminino;renda_media;-0.249;-0.251;-0.0020000000000000018
correlacao_pearson;renda_media;pct_raca_pretpardind;-0.682;-0.687;-0.0050000000000000044
correlacao_pearson;renda_media;pct_idoso_60mais;0.377;0.38;0.0030000000000000027
correlacao_pearson;renda_media;pct_crianca_0a4;-0.297;-0.299;-0.0020000000000000018
correlacao_pearson;renda_media;pct_resp_feminino;-0.249;-0.251;-0.0020000000000000018
favelas_fcu_comparativo_indicadores;renda_media;n_fcu;19448.0;19447.0;-1.0
favelas_fcu_comparativo_indicadores;renda_media;media_fcu;1609.626;1600.9455;-8.680499999999938
favelas_fcu_comparativo_indicadores;renda_media;mediana_fcu;1515.35;1515.32;-0.029999999999972715
favelas_fcu_comparativo_indicadores;renda_media;razao_medias;0.3368;0.3349;-0.0019000000000000128
missing_por_municipio;Belo Horizonte;renda_media;0.0;0.02;0.02
