;pct_agua_inad;pct_esgoto_inad;pct_lixo_inad;razao_moradores;pct_analfab;renda_media;pct_raca_pretpardind;pct_idoso_60mais;pct_crianca_0a4;pct_resp_feminino
pct_agua_inad;1.0;0.268;0.069;0.186;0.156;-0.102;0.234;-0.172;0.182;-0.036
pct_esgoto_inad;0.268;1.0;0.13;0.267;0.381;-0.218;0.307;-0.275;0.314;0.034
pct_lixo_inad;0.069;0.13;1.0;-0.046;0.15;-0.087;0.183;-0.207;0.166;0.091
razao_moradores;0.186;0.267;-0.046;1.0;0.318;-0.326;0.473;-0.432;0.49;0.002
pct_analfab;0.156;0.381;0.15;0.318;1.0;-0.424;0.51;-0.362;0.398;0.18
renda_media;-0.102;-0.218;-0.087;-0.326;-0.424;1.0;-0.687;0.38;-0.299;-0.251
pct_raca_pretpardind;0.234;0.307;0.183;0.473;0.51;-0.687;1.0;-0.552;0.452;0.234
pct_idoso_60mais;-0.172;-0.275;-0.207;-0.432;-0.362;0.38;-0.552;1.0;-0.686;-0.06
pct_crianca_0a4;0.182;0.314;0.166;0.49;0.398;-0.299;0.452;-0.686;1.0;0.077
pct_resp_feminino;-0.036;0.034;0.091;0.002;0.18;-0.251;0.234;-0.06;0.077;1.0
