;pct_agua_inad;pct_esgoto_inad;pct_lixo_inad;razao_moradores;pct_analfab;renda_media;pct_raca_pretpardind;pct_idoso_60mais;pct_crianca_0a4;pct_resp_feminino
pct_agua_inad;1.0;0.417;0.095;0.257;0.229;-0.26;0.354;-0.21;0.214;0.0
pct_esgoto_inad;0.417;1.0;0.199;0.347;0.429;-0.454;0.431;-0.354;0.358;0.057
pct_lixo_inad;0.095;0.199;1.0;-0.057;0.157;-0.164;0.19;-0.24;0.163;0.104
razao_moradores;0.257;0.347;-0.057;1.0;0.414;-0.441;0.46;-0.455;0.485;0.021
pct_analfab;0.229;0.429;0.157;0.414;1.0;-0.757;0.626;-0.425;0.462;0.204
renda_media;-0.26;-0.454;-0.164;-0.441;-0.757;1.0;-0.811;0.519;-0.517;-0.299
pct_raca_pretpardind;0.354;0.431;0.19;0.46;0.626;-0.811;1.0;-0.541;0.485;0.243
pct_idoso_60mais;-0.21;-0.354;-0.24;-0.455;-0.425;0.519;-0.541;1.0;-0.722;-0.081
pct_crianca_0a4;0.214;0.358;0.163;0.485;0.462;-0.517;0.485;-0.722;1.0;0.087
pct_resp_feminino;0.0;0.057;0.104;0.021;0.204;-0.299;0.243;-0.081;0.087;1.0
