NM_MUN;media_com;media_sem;posicao_com;posicao_sem;mudou
São Caetano do Sul;6549.5814;6549.5814;1;1;0
Brasília;5718.5792;5718.5792;2;2;0
São Paulo;5273.6913;5273.6913;3;3;0
Curitiba;5201.7643;5201.7643;4;4;0
Porto Alegre;5137.617;5137.617;5;5;0
Campinas;4706.4973;4706.4973;6;6;0
Belo Horizonte;4682.3015;4649.8806;7;7;0
Goiânia;4593.4891;4593.4891;8;8;0
Rio de Janeiro;4481.7309;4481.7309;9;9;0
São Bernardo do Campo;4243.5757;4243.5757;10;10;0
Pato Branco;4032.2301;4032.2301;11;11;0
Salto;3918.6758;3918.6758;12;12;0
Campo Grande;3836.4224;3836.4224;13;13;0
Chapada dos Guimarães;3786.3656;3786.3656;14;14;0
Recife;3751.8288;3751.8288;15;15;0
Araçatuba;3614.639;3614.639;16;16;0
Guarujá;3539.8844;3539.8844;17;17;0
Natal;3524.5261;3524.5261;18;18;0
Canoas;3464.057;3464.057;19;19;0
Macaé;3418.8125;3418.8125;20;20;0
São José dos Pinhais;3313.3219;3313.3219;21;21;0
Guarulhos;3277.8595;3277.8595;22;22;0
Anápolis;3160.1372;3160.1372;23;23;0
Taió;3141.5704;3141.5704;24;24;0
Salvador;3126.5911;3126.5911;25;25;0
Belém;3088.0961;3088.0961;26;26;0
Charqueadas;3036.5761;3036.5761;27;27;0
Divinópolis;2979.5698;2979.5698;28;28;0
Goianésia;2952.8367;2952.8367;29;29;0
São Luís;2942.7702;2942.7702;30;30;0
Teresina;2934.6271;2934.6271;31;31;0
São Pedro da Aldeia;2913.1554;2913.1554;32;32;0
Manaus;2890.208;2890.208;33;33;0
Maceió;2852.1121;2852.1121;34;34;0
Fortaleza;2822.6225;2822.6225;35;35;0
Guapiaçu;2783.5812;2783.5812;36;36;0
Mauá;2676.6457;2676.6457;37;37;0
São Paulo das Missões;2661.9133;2661.9133;38;38;0
Cachoeiro de Itapemirim;2657.885;2657.885;39;39;0
Igarapava;2615.2516;2615.2516;40;40;0
Vicentinópolis;2488.9718;2488.9718;41;41;0
Marechal Deodoro;2412.9632;2412.9632;42;42;0
Ananindeua;2385.855;2385.855;43;43;0
Feira de Santana;2346.8889;2346.8889;44;44;0
Tabatinga;2216.9355;2216.9355;45;45;0
Capelinha;2196.227;2196.227;46;46;0
São José de Ribamar;2159.4839;2159.4839;47;47;0
Nova Iguaçu;2125.6445;2125.6445;48;48;0
Autazes;2119.6623;2119.6623;49;49;0
Camaragibe;2108.2975;2108.2975;50;50;0
São Gonçalo;2106.1836;2106.1836;51;51;0
Duque de Caxias;2031.4057;2031.4057;52;52;0
Santa Maria do Oeste;2029.6525;2029.6525;53;53;0
Limoeiro do Norte;2020.1758;2020.1758;54;54;0
Coroaci;1949.9936;1949.9936;55;55;0
Salinas;1936.1585;1936.1585;56;56;0
Urandi;1897.2822;1897.2822;57;57;0
Ibatiba;1890.5789;1890.5789;58;58;0
Placas;1841.3181;1841.3181;59;59;0
Itapetinga;1833.6808;1833.6808;60;60;0
Orizânia;1680.87;1680.87;61;61;0
Itajuípe;1622.2831;1622.2831;62;62;0
Portel;1548.8742;1548.8742;63;63;0
Japoatã;1494.5986;1494.5986;64;64;0
Groaíras;1401.2471;1401.2471;65;65;0
Rosário;1392.5264;1392.5264;66;66;0
São Raimundo do Doca Bezerra;1336.9033;1336.9033;67;67;0
Arara;1318.5295;1318.5295;68;68;0
Água Preta;1290.7312;1290.7312;69;69;0
Jaqueira;1196.3678;1196.3678;70;70;0
