variavel;n_fcu;media_fcu;mediana_fcu;n_nao_fcu;media_nao_fcu;mediana_nao_fcu;razao_medias
pct_agua_inad;19452;0.1078;0.0;84656;0.0608;0.0;1.7729
pct_esgoto_inad;19452;0.2139;0.0317;84655;0.0516;0.0;4.1439
pct_lixo_inad;19452;0.248;0.0449;84656;0.0854;0.0;2.9033
razao_moradores;19452;2.9271;2.9167;84656;2.6367;2.6692;1.1102
pct_analfab;18904;0.0625;0.0546;68652;0.0293;0.0213;2.1349
renda_media;19447;1600.9455;1515.32;84648;4779.6588;3067.015;0.3349
pct_raca_pretpardind;19452;0.7349;0.7427;84654;0.4789;0.5096;1.5344
pct_moradia_convencional;19452;0.984;1.0;84656;0.9926;1.0;0.9913
pct_apartamento;17139;0.0329;0.0;77866;0.3768;0.1194;0.0872
pct_pop_0a14;19440;0.2222;0.2193;84410;0.1612;0.1607;1.3788
pct_idoso_60mais;19369;0.109;0.1055;84454;0.1905;0.1849;0.5723
iep_setor;19334;55.159;47.9127;83782;153.0071;114.8148;0.3605
