NM_MUN;n_setores;n_sigilo;pct_sigilo_v901;n_v901_zero;n_validos;media_pct;mediana_pct;max_pct
São Caetano do Sul;421;125;29.69;77;296;1.33;1.11;9.56
Porto Alegre;2695;740;27.46;400;1955;2.2;1.57;33.33
Curitiba;3168;732;23.11;390;2436;1.93;1.45;18.78
São Pedro da Aldeia;353;80;22.66;27;273;5.01;3.95;40.0
Belo Horizonte;5113;1149;22.47;635;3964;2.76;2.03;48.15
Canoas;645;135;20.93;65;510;2.18;1.89;14.13
Rio de Janeiro;13371;2676;20.01;1440;10695;2.77;1.99;62.5
Campinas;2502;499;19.94;316;2003;2.82;2.12;17.19
São Paulo;26679;5252;19.69;3575;21427;2.94;2.26;47.06
Araçatuba;502;93;18.53;55;409;2.95;2.3;15.56
São Bernardo do Campo;1709;316;18.49;172;1393;2.83;2.16;35.29
Pato Branco;170;31;18.24;9;139;3.33;2.66;13.59
Taió;67;11;16.42;16;56;2.4;2.07;8.21
Macaé;679;111;16.35;73;568;4.64;3.37;36.23
Guarujá;701;113;16.12;113;588;3.6;2.94;21.05
Brasília;5264;838;15.92;504;4426;3.25;2.76;40.74
Goiânia;2289;330;14.42;141;1959;2.85;2.36;23.44
São Gonçalo;2362;325;13.76;116;2037;3.49;2.97;25.93
Autazes;184;24;13.04;5;160;12.11;10.66;40.54
Salvador;4476;580;12.96;213;3896;3.87;3.27;72.55
Guarulhos;2426;288;11.87;181;2138;3.42;2.92;37.5
Campo Grande;1645;177;10.76;70;1468;3.3;2.8;23.33
São José de Ribamar;589;62;10.53;26;527;5.44;4.66;23.77
Recife;2796;291;10.41;88;2505;6.44;5.99;37.78
Divinópolis;535;54;10.09;27;481;3.44;2.76;20.78
São José dos Pinhais;512;51;9.96;20;461;2.75;2.43;22.03
Cachoeiro de Itapemirim;405;40;9.88;14;365;4.67;4.05;20.55
São Luís;1699;166;9.77;81;1533;4.5;3.96;37.99
Manaus;3199;308;9.63;111;2891;3.36;2.93;31.94
Ananindeua;738;71;9.62;21;667;3.1;2.71;21.05
Salto;207;19;9.18;7;188;2.94;2.51;11.14
Chapada dos Guimarães;70;6;8.57;2;64;12.16;9.71;38.6
Mauá;830;71;8.55;30;759;3.43;2.96;21.43
Charqueadas;61;5;8.2;1;56;3.34;2.83;12.31
Duque de Caxias;1805;146;8.09;32;1659;4.04;3.43;30.34
Nova Iguaçu;1595;110;6.9;37;1485;4.0;3.51;33.33
Belém;2031;140;6.89;50;1891;3.43;2.81;35.71
Placas;47;3;6.38;1;44;12.38;11.64;25.71
Vicentinópolis;16;1;6.25;0;15;9.82;8.93;20.78
Anápolis;581;35;6.02;9;546;4.05;3.43;21.43
Maceió;1534;91;5.93;28;1443;9.8;9.13;51.75
Fortaleza;4280;252;5.89;64;4028;6.52;5.94;40.35
Feira de Santana;1094;64;5.85;32;1030;7.31;5.63;40.28
São Paulo das Missões;18;1;5.56;0;17;5.94;4.73;13.62
Natal;1076;54;5.02;13;1022;7.25;6.81;53.33
Orizânia;21;1;4.76;0;20;11.43;10.96;15.59
Teresina;1493;66;4.42;33;1427;8.1;7.21;32.59
Groaíras;24;1;4.17;0;23;21.25;20.0;39.32
Guapiaçu;50;2;4.0;1;48;4.99;4.92;12.4
Rosário;87;3;3.45;0;84;16.75;14.94;43.48
Goianésia;105;3;2.86;0;102;7.24;6.37;25.97
Japoatã;36;1;2.78;0;35;24.17;21.94;41.6
Tabatinga;36;1;2.78;2;35;6.02;5.45;16.96
Igarapava;62;1;1.61;3;61;5.23;4.8;17.14
Camaragibe;272;4;1.47;1;268;7.9;7.34;21.6
Limoeiro do Norte;164;2;1.22;2;162;15.77;14.76;54.55
Capelinha;90;1;1.11;1;89;15.48;14.52;32.58
Marechal Deodoro;98;1;1.02;2;97;15.48;13.04;76.92
Itapetinga;114;1;0.88;2;113;11.4;10.55;37.87
Arara;31;0;0.0;0;31;29.19;31.1;41.06
Coroaci;29;0;0.0;0;29;10.57;10.09;22.75
Ibatiba;54;0;0.0;0;54;12.82;12.28;25.09
Itajuípe;47;0;0.0;0;47;21.83;20.17;50.72
Jaqueira;19;0;0.0;0;19;23.93;24.89;31.8
Portel;71;0;0.0;0;71;23.79;22.93;84.21
Salinas;81;0;0.0;0;81;15.23;12.28;51.43
Santa Maria do Oeste;37;0;0.0;0;37;10.63;10.44;25.81
São Raimundo do Doca Bezerra;19;0;0.0;0;19;24.15;23.94;36.11
Urandi;33;0;0.0;0;33;18.84;19.91;37.5
Água Preta;69;0;0.0;0;69;24.83;24.17;36.27
