CD_UF;CD_MUN;NM_MUN;regiao;n_setores_OK;agua_adeq_100;pct_agua_adeq_100;esgoto_adeq_100;pct_esgoto_adeq_100;lixo_adeq_100;pct_lixo_adeq_100;saneamento_3_100;pct_saneamento_3_100;dados_7vars_100;pct_dados_7vars_100;coleta_lixo_100;pct_coleta_lixo_100
13;1300300;Autazes;Norte;184;9;4.9;3;1.6;25;13.6;1;0.5;159;86.4;35;19.0
13;1302603;Manaus;Norte;3199;413;12.9;748;23.4;1884;58.9;133;4.2;2891;90.4;2657;83.1
15;1500800;Ananindeua;Norte;738;21;2.8;249;33.7;438;59.3;11;1.5;667;90.4;639;86.6
15;1501402;Belém;Norte;2031;297;14.6;892;43.9;1038;51.1;131;6.5;1891;93.1;1609;79.2
15;1505650;Placas;Norte;47;1;2.1;0;0.0;0;0.0;0;0.0;44;93.6;2;4.3
15;1505809;Portel;Norte;71;0;0.0;0;0.0;8;11.3;0;0.0;71;100.0;15;21.1
21;2109601;Rosário;Nordeste;87;4;4.6;0;0.0;10;11.5;0;0.0;84;96.6;14;16.1
21;2111201;São José de Ribamar;Nordeste;589;146;24.8;207;35.1;288;48.9;58;9.8;527;89.5;432;73.3
21;2111300;São Luís;Nordeste;1699;237;13.9;660;38.8;938;55.2;100;5.9;1533;90.2;1293;76.1
21;2111631;São Raimundo do Doca Bezerra;Nordeste;19;8;42.1;0;0.0;1;5.3;0;0.0;19;100.0;2;10.5
22;2211001;Teresina;Nordeste;1493;1093;73.2;646;43.3;994;66.6;425;28.5;1427;95.6;1164;78.0
23;2304400;Fortaleza;Nordeste;4280;1529;35.7;2517;58.8;3255;76.1;719;16.8;4028;94.1;4091;95.6
23;2304905;Groaíras;Nordeste;24;15;62.5;6;25.0;0;0.0;0;0.0;23;95.8;16;66.7
23;2307601;Limoeiro do Norte;Nordeste;164;88;53.7;37;22.6;84;51.2;16;9.8;162;98.8;97;59.1
24;2408102;Natal;Nordeste;1076;848;78.8;514;47.8;781;72.6;323;30.0;1022;95.0;979;91.0
25;2500908;Arara;Nordeste;31;0;0.0;3;9.7;6;19.4;0;0.0;31;100.0;16;51.6
26;2600401;Água Preta;Nordeste;69;6;8.7;12;17.4;23;33.3;1;1.4;69;100.0;26;37.7
26;2603454;Camaragibe;Nordeste;272;31;11.4;25;9.2;71;26.1;4;1.5;268;98.5;156;57.4
26;2607950;Jaqueira;Nordeste;19;1;5.3;3;15.8;2;10.5;0;0.0;19;100.0;6;31.6
26;2611606;Recife;Nordeste;2796;878;31.4;1122;40.1;1722;61.6;328;11.7;2505;89.6;2393;85.6
27;2704302;Maceió;Nordeste;1534;396;25.8;440;28.7;785;51.2;153;10.0;1443;94.1;1303;84.9
27;2704708;Marechal Deodoro;Nordeste;98;53;54.1;25;25.5;33;33.7;10;10.2;97;99.0;64;65.3
28;2803401;Japoatã;Nordeste;36;11;30.6;0;0.0;14;38.9;0;0.0;35;97.2;14;38.9
29;2910800;Feira de Santana;Nordeste;1094;343;31.4;585;53.5;717;65.5;175;16.0;1030;94.1;864;79.0
29;2915502;Itajuípe;Nordeste;47;20;42.6;11;23.4;24;51.1;7;14.9;47;100.0;28;59.6
29;2916401;Itapetinga;Nordeste;114;100;87.7;74;64.9;70;61.4;54;47.4;113;99.1;86;75.4
29;2927408;Salvador;Nordeste;4476;3982;89.0;3556;79.4;988;22.1;880;19.7;3895;87.0;3899;87.1
29;2932606;Urandi;Nordeste;33;13;39.4;0;0.0;4;12.1;0;0.0;33;100.0;6;18.2
31;3106200;Belo Horizonte;Sudeste;5113;4893;95.7;4499;88.0;4306;84.2;3885;76.0;3964;77.5;4944;96.7
31;3112307;Capelinha;Sudeste;90;49;54.4;25;27.8;45;50.0;20;22.2;89;98.9;52;57.8
31;3119203;Coroaci;Sudeste;29;8;27.6;5;17.2;6;20.7;2;6.9;29;100.0;8;27.6
31;3122306;Divinópolis;Sudeste;535;418;78.1;315;58.9;389;72.7;241;45.0;481;89.9;476;89.0
31;3145877;Orizânia;Sudeste;21;2;9.5;1;4.8;1;4.8;0;0.0;20;95.2;4;19.0
31;3157005;Salinas;Sudeste;81;57;70.4;19;23.5;39;48.1;16;19.8;81;100.0;43;53.1
32;3201209;Cachoeiro de Itapemirim;Sudeste;405;318;78.5;303;74.8;226;55.8;192;47.4;365;90.1;342;84.4
32;3202454;Ibatiba;Sudeste;54;5;9.3;16;29.6;10;18.5;1;1.9;54;100.0;30;55.6
33;3301702;Duque de Caxias;Sudeste;1805;355;19.7;1128;62.5;1127;62.4;216;12.0;1659;91.9;1476;81.8
33;3302403;Macaé;Sudeste;679;353;52.0;458;67.5;397;58.5;247;36.4;568;83.7;593;87.3
33;3303500;Nova Iguaçu;Sudeste;1595;424;26.6;850;53.3;964;60.4;253;15.9;1485;93.1;1250;78.4
33;3304557;Rio de Janeiro;Sudeste;13371;11847;88.6;10902;81.5;7114;53.2;6117;45.7;10692;80.0;12563;94.0
33;3304904;São Gonçalo;Sudeste;2362;1069;45.3;1279;54.1;1372;58.1;522;22.1;2036;86.2;1896;80.3
33;3305208;São Pedro da Aldeia;Sudeste;353;274;77.6;248;70.3;245;69.4;180;51.0;272;77.1;304;86.1
35;3502804;Araçatuba;Sudeste;502;454;90.4;479;95.4;433;86.3;405;80.7;409;81.5;489;97.4
35;3509502;Campinas;Sudeste;2502;2355;94.1;2127;85.0;1526;61.0;1338;53.5;2003;80.1;2440;97.5
35;3517505;Guapiaçu;Sudeste;50;34;68.0;39;78.0;38;76.0;33;66.0;48;96.0;39;78.0
35;3518701;Guarujá;Sudeste;701;594;84.7;513;73.2;353;50.4;331;47.2;588;83.9;683;97.4
35;3518800;Guarulhos;Sudeste;2426;2099;86.5;1788;73.7;1806;74.4;1316;54.2;2136;88.0;2278;93.9
35;3520103;Igarapava;Sudeste;62;48;77.4;52;83.9;43;69.4;39;62.9;61;98.4;54;87.1
35;3529401;Mauá;Sudeste;830;769;92.7;622;74.9;634;76.4;531;64.0;759;91.4;792;95.4
35;3545209;Salto;Sudeste;207;171;82.6;170;82.1;7;3.4;5;2.4;188;90.8;197;95.2
35;3548708;São Bernardo do Campo;Sudeste;1709;1603;93.8;1440;84.3;990;57.9;893;52.3;1393;81.5;1672;97.8
35;3548807;São Caetano do Sul;Sudeste;421;407;96.7;421;100.0;346;82.2;337;80.0;296;70.3;421;100.0
35;3550308;São Paulo;Sudeste;26679;25480;95.5;22227;83.3;17467;65.5;15603;58.5;21420;80.3;25982;97.4
35;3552700;Tabatinga;Sudeste;36;27;75.0;26;72.2;29;80.6;22;61.1;35;97.2;31;86.1
41;4106902;Curitiba;Sul;3168;2800;88.4;2859;90.2;2381;75.2;2044;64.5;2436;76.9;3122;98.5
41;4118501;Pato Branco;Sul;170;126;74.1;128;75.3;135;79.4;90;52.9;139;81.8;151;88.8
41;4123857;Santa Maria do Oeste;Sul;37;6;16.2;1;2.7;5;13.5;0;0.0;37;100.0;6;16.2
41;4125506;São José dos Pinhais;Sul;512;275;53.7;334;65.2;344;67.2;174;34.0;461;90.0;456;89.1
42;4217808;Taió;Sul;67;10;14.9;44;65.7;41;61.2;9;13.4;56;83.6;49;73.1
43;4304606;Canoas;Sul;645;471;73.0;585;90.7;492;76.3;341;52.9;510;79.1;635;98.4
43;4305355;Charqueadas;Sul;61;45;73.8;40;65.6;55;90.2;28;45.9;56;91.8;56;91.8
43;4314902;Porto Alegre;Sul;2695;2508;93.1;2217;82.3;1370;50.8;1093;40.6;1955;72.5;2569;95.3
43;4319307;São Paulo das Missões;Sul;18;7;38.9;5;27.8;6;33.3;2;11.1;17;94.4;6;33.3
50;5002704;Campo Grande;Centro-Oeste;1645;935;56.8;965;58.7;1424;86.6;574;34.9;1468;89.2;1569;95.4
51;5103007;Chapada dos Guimarães;Centro-Oeste;70;29;41.4;8;11.4;18;25.7;1;1.4;64;91.4;30;42.9
52;5201108;Anápolis;Centro-Oeste;581;171;29.4;279;48.0;457;78.7;111;19.1;545;93.8;536;92.3
52;5208608;Goianésia;Centro-Oeste;105;3;2.9;44;41.9;70;66.7;2;1.9;102;97.1;83;79.0
52;5208707;Goiânia;Centro-Oeste;2289;1185;51.8;1656;72.3;1548;67.6;630;27.5;1959;85.6;2220;97.0
52;5222054;Vicentinópolis;Centro-Oeste;16;5;31.2;0;0.0;8;50.0;0;0.0;15;93.8;9;56.2
53;5300108;Brasília;Centro-Oeste;5264;4268;81.1;4402;83.6;3117;59.2;2820;53.6;4426;84.1;4797;91.1
