CD_UF;CD_MUN;NM_MUN;regiao;n_setores;pop_total;n_crianca_0a4;n_pop_0a14;n_pop_15a59;n_idoso_60mais;n_idoso_70mais;pct_pop_0a14;pct_60mais;IEP;RDI;prop_70mais_entre_60mais
43;4319307;São Paulo das Missões;Sul;6.0;2350.0;135.0;334.0;1332.0;679.0;317.0;14.21;28.89;203.3;51.0;46.7
35;3548807;São Caetano do Sul;Sudeste;421.0;165513.0;7314.0;25326.0;100044.0;40102.0;20296.0;15.3;24.23;158.3;40.1;50.6
43;4314902;Porto Alegre;Sul;2677.0;1327656.0;63997.0;212777.0;823010.0;291370.0;139454.0;16.03;21.95;136.9;35.4;47.9
31;3106200;Belo Horizonte;Sudeste;5113.0;2314600.0;111481.0;358752.0;1493237.0;461752.0;218358.0;15.5;19.95;128.7;30.9;47.3
31;3119203;Coroaci;Sudeste;11.0;6218.0;291.0;929.0;4110.0;1179.0;575.0;14.94;18.96;126.9;28.7;48.8
33;3304557;Rio de Janeiro;Sudeste;13370.0;6185835.0;310157.0;1030987.0;3901626.0;1251300.0;586367.0;16.67;20.23;121.4;32.1;46.9
25;2500908;Arara;Nordeste;19.0;9628.0;595.0;1838.0;5637.0;2153.0;1217.0;19.09;22.36;117.1;38.2;56.5
35;3502804;Araçatuba;Sudeste;489.0;196489.0;10254.0;33127.0;124952.0;38268.0;17473.0;16.86;19.48;115.5;30.6;45.7
33;3304904;São Gonçalo;Sudeste;2357.0;896320.0;46124.0;149464.0;575446.0;170916.0;73280.0;16.68;19.07;114.4;29.7;42.9
41;4106902;Curitiba;Sul;3168.0;1773316.0;84941.0;287206.0;1164484.0;321404.0;144040.0;16.2;18.12;111.9;27.6;44.8
35;3520103;Igarapava;Sudeste;56.0;25486.0;1420.0;4541.0;15924.0;5001.0;2329.0;17.82;19.62;110.1;31.4;46.6
35;3509502;Campinas;Sudeste;2461.0;1132060.0;58884.0;189462.0;734150.0;208003.0;95010.0;16.74;18.37;109.8;28.3;45.7
43;4305355;Charqueadas;Sul;56.0;30476.0;1590.0;5399.0;19168.0;5904.0;2620.0;17.72;19.37;109.4;30.8;44.4
31;3122306;Divinópolis;Sudeste;496.0;224680.0;12395.0;37294.0;146885.0;40349.0;17431.0;16.6;17.96;108.2;27.5;43.2
35;3550308;São Paulo;Sudeste;26512.0;11425029.0;597295.0;1945651.0;7455142.0;2018200.0;923057.0;17.03;17.66;103.7;27.1;45.7
26;2611606;Recife;Nordeste;2796.0;1482654.0;80920.0;263655.0;955144.0;263676.0;118394.0;17.78;17.78;100.0;27.6;44.9
35;3548708;São Bernardo do Campo;Sudeste;1685.0;806648.0;40750.0;138226.0;529955.0;138274.0;59307.0;17.14;17.14;100.0;26.1;42.9
29;2927408;Salvador;Nordeste;4476.0;2412968.0;122266.0;405252.0;1608402.0;398756.0;170166.0;16.79;16.53;98.4;24.8;42.7
29;2915502;Itajuípe;Nordeste;29.0;15575.0;922.0;3000.0;9657.0;2918.0;1351.0;19.26;18.74;97.3;30.2;46.3
43;4304606;Canoas;Sul;645.0;347645.0;19504.0;63163.0;224054.0;60339.0;25992.0;18.17;17.36;95.5;26.9;43.1
32;3201209;Cachoeiro de Itapemirim;Sudeste;365.0;172569.0;10335.0;32090.0;110122.0;30296.0;12872.0;18.6;17.56;94.4;27.5;42.5
24;2408102;Natal;Nordeste;1076.0;750895.0;42628.0;135745.0;487015.0;128098.0;58329.0;18.08;17.06;94.4;26.3;45.5
42;4217808;Taió;Sul;50.0;12046.0;761.0;2206.0;7717.0;2020.0;895.0;18.31;16.77;91.6;26.2;44.3
31;3157005;Salinas;Sudeste;53.0;33787.0;2079.0;6384.0;21681.0;5722.0;2920.0;18.89;16.94;89.6;26.4;51.0
15;1501402;Belém;Norte;2004.0;1296103.0;70045.0;233205.0;858273.0;204515.0;89085.0;17.99;15.78;87.7;23.8;43.6
35;3552700;Tabatinga;Sudeste;31.0;13395.0;889.0;2639.0;8443.0;2302.0;1008.0;19.7;17.19;87.2;27.3;43.8
23;2304905;Groaíras;Nordeste;14.0;7671.0;481.0;1470.0;4923.0;1278.0;662.0;19.16;16.66;86.9;26.0;51.8
35;3517505;Guapiaçu;Sudeste;40.0;20284.0;1215.0;3816.0;13148.0;3296.0;1502.0;18.81;16.25;86.4;25.1;45.6
33;3305208;São Pedro da Aldeia;Sudeste;333.0;101106.0;6344.0;19663.0;64477.0;16778.0;7011.0;19.45;16.59;85.3;26.0;41.8
52;5208707;Goiânia;Centro-Oeste;2272.0;1434776.0;83507.0;258606.0;960044.0;215912.0;93675.0;18.02;15.05;83.5;22.5;43.4
23;2307601;Limoeiro do Norte;Nordeste;97.0;43514.0;2541.0;8089.0;28656.0;6728.0;3145.0;18.59;15.46;83.2;23.5;46.7
35;3545209;Salto;Sudeste;196.0;132758.0;8154.0;24951.0;87029.0;20759.0;8493.0;18.79;15.64;83.2;23.9;40.9
33;3303500;Nova Iguaçu;Sudeste;1569.0;782170.0;47174.0;152147.0;503499.0;126402.0;52198.0;19.45;16.16;83.1;25.1;41.3
31;3145877;Orizânia;Sudeste;5.0;3079.0;207.0;628.0;1935.0;516.0;237.0;20.4;16.76;82.2;26.7;45.9
23;2304400;Fortaleza;Nordeste;4280.0;2428524.0;138591.0;448430.0;1613581.0;365684.0;163482.0;18.47;15.06;81.5;22.7;44.7
33;3301702;Duque de Caxias;Sudeste;1788.0;806030.0;49468.0;160359.0;517429.0;128090.0;51736.0;19.89;15.89;79.9;24.8;40.4
35;3529401;Mauá;Sudeste;824.0;416516.0;24337.0;77351.0;278965.0;60075.0;24017.0;18.57;14.42;77.7;21.5;40.0
26;2603454;Camaragibe;Nordeste;272.0;147771.0;8480.0;28258.0;97677.0;21830.0;9462.0;19.12;14.77;77.3;22.3;43.3
29;2932606;Urandi;Nordeste;9.0;6434.0;409.0;1300.0;4141.0;993.0;503.0;20.21;15.43;76.4;24.0;50.7
29;2916401;Itapetinga;Nordeste;104.0;63924.0;4113.0;13182.0;40686.0;10054.0;4977.0;20.62;15.73;76.3;24.7;49.5
35;3518701;Guarujá;Sudeste;689.0;286814.0;17211.0;56241.0;187255.0;42925.0;17162.0;19.61;14.97;76.3;22.9;40.0
32;3202454;Ibatiba;Sudeste;35.0;16256.0;1141.0;3325.0;10399.0;2532.0;1213.0;20.45;15.58;76.2;24.3;47.9
41;4118501;Pato Branco;Sul;151.0;87293.0;5621.0;17003.0;57505.0;12743.0;5345.0;19.48;14.6;74.9;22.2;41.9
51;5103007;Chapada dos Guimarães;Centro-Oeste;34.0;12996.0;951.0;2877.0;7948.0;2146.0;926.0;22.14;16.51;74.6;27.0;43.2
50;5002704;Campo Grande;Centro-Oeste;1603.0;882060.0;59032.0;182489.0;567084.0;132293.0;56644.0;20.69;15.0;72.5;23.3;42.8
22;2211001;Teresina;Nordeste;1368.0;820940.0;51357.0;159869.0;548163.0;112744.0;48278.0;19.47;13.73;70.5;20.6;42.8
35;3518800;Guarulhos;Sudeste;2416.0;1285804.0;78344.0;254277.0;853109.0;177974.0;71025.0;19.78;13.84;70.0;20.9;39.9
52;5201108;Anápolis;Centro-Oeste;558.0;390819.0;25628.0;78887.0;256858.0;55037.0;23125.0;20.19;14.08;69.8;21.4;42.0
53;5300108;Brasília;Centro-Oeste;4924.0;2711678.0;160462.0;513859.0;1843858.0;353377.0;154094.0;18.95;13.03;68.8;19.2;43.6
41;4123857;Santa Maria do Oeste;Sul;8.0;3040.0;204.0;664.0;1927.0;449.0;192.0;21.84;14.77;67.6;23.3;42.8
