;pct_crianca_0a4;pct_pop_0a14;pct_idoso_60mais;iep_setor;rdi_setor;prop_70mais_entre_60mais
count;102288.0;103850.0;103823.0;103116.0;103810.0;101972.0
mean;0.054103;0.17259;0.17532;134.660824;28.120644;42.671853
std;0.02208;0.057872;0.084956;141.594355;16.860665;10.98373
min;0.0;0.0;0.0;0.0;0.0;0.0
10%;0.028061;0.10084;0.071978;30.769231;10.351858;28.947368
50%;0.052083;0.171946;0.165736;96.296296;25.16129;42.857143
90%;0.082586;0.244928;0.292614;275.0;49.659864;55.952381
95%;0.092662;0.268511;0.328786;361.407343;58.250175;59.782609
99%;0.115385;0.316201;0.393558;633.333333;76.724138;67.313214
max;0.333333;0.487805;0.857143;4750.0;1000.0;100.0
