CD_UF;CD_MUN;NM_MUN;regiao;n_ok_total;n_ok_urbano;n_ok_rural;pct_excluido
21;2111631;São Raimundo do Doca Bezerra;Nordeste;19;3;16;84.21
28;2803401;Japoatã;Nordeste;36;7;29;80.56
41;4123857;Santa Maria do Oeste;Sul;37;8;29;78.38
13;1300300;Autazes;Norte;184;43;141;76.63
31;3145877;Orizânia;Sudeste;21;5;16;76.19
29;2932606;Urandi;Nordeste;33;9;24;72.73
43;4319307;São Paulo das Missões;Sul;18;6;12;66.67
15;1505650;Placas;Norte;47;16;31;65.96
15;1505809;Portel;Norte;71;26;45;63.38
31;3119203;Coroaci;Sudeste;29;11;18;62.07
21;2109601;Rosário;Nordeste;87;36;51;58.62
26;2600401;Água Preta;Nordeste;69;32;37;53.62
26;2607950;Jaqueira;Nordeste;19;9;10;52.63
51;5103007;Chapada dos Guimarães;Centro-Oeste;70;34;36;51.43
23;2304905;Groaíras;Nordeste;24;14;10;41.67
23;2307601;Limoeiro do Norte;Nordeste;164;97;67;40.85
25;2500908;Arara;Nordeste;31;19;12;38.71
29;2915502;Itajuípe;Nordeste;47;29;18;38.3
31;3112307;Capelinha;Sudeste;90;56;34;37.78
32;3202454;Ibatiba;Sudeste;54;35;19;35.19
31;3157005;Salinas;Sudeste;81;53;28;34.57
52;5222054;Vicentinópolis;Centro-Oeste;16;11;5;31.25
42;4217808;Taió;Sul;67;50;17;25.37
35;3517505;Guapiaçu;Sudeste;50;40;10;20.0
52;5208608;Goianésia;Centro-Oeste;105;88;17;16.19
35;3552700;Tabatinga;Sudeste;36;31;5;13.89
41;4118501;Pato Branco;Sul;170;151;19;11.18
41;4125506;São José dos Pinhais;Sul;512;456;56;10.94
27;2704708;Marechal Deodoro;Nordeste;98;88;10;10.2
32;3201209;Cachoeiro de Itapemirim;Sudeste;405;365;40;9.88
35;3520103;Igarapava;Sudeste;62;56;6;9.68
33;3302403;Macaé;Sudeste;679;618;61;8.98
29;2910800;Feira de Santana;Nordeste;1094;997;97;8.87
29;2916401;Itapetinga;Nordeste;114;104;10;8.77
22;2211001;Teresina;Nordeste;1493;1368;125;8.37
43;4305355;Charqueadas;Sul;61;56;5;8.2
31;3122306;Divinópolis;Sudeste;535;496;39;7.29
53;5300108;Brasília;Centro-Oeste;5264;4924;340;6.46
33;3305208;São Pedro da Aldeia;Sudeste;353;333;20;5.67
35;3545209;Salto;Sudeste;207;196;11;5.31
52;5201108;Anápolis;Centro-Oeste;581;558;23;3.96
13;1302603;Manaus;Norte;3199;3094;105;3.28
35;3502804;Araçatuba;Sudeste;502;489;13;2.59
50;5002704;Campo Grande;Centro-Oeste;1645;1603;42;2.55
35;3518701;Guarujá;Sudeste;701;689;12;1.71
35;3509502;Campinas;Sudeste;2502;2461;41;1.64
33;3303500;Nova Iguaçu;Sudeste;1595;1569;26;1.63
21;2111201;São José de Ribamar;Nordeste;589;580;9;1.53
21;2111300;São Luís;Nordeste;1699;1674;25;1.47
35;3548708;São Bernardo do Campo;Sudeste;1709;1685;24;1.4
15;1501402;Belém;Norte;2031;2004;27;1.33
33;3301702;Duque de Caxias;Sudeste;1805;1788;17;0.94
15;1500800;Ananindeua;Norte;738;732;6;0.81
52;5208707;Goiânia;Centro-Oeste;2289;2272;17;0.74
35;3529401;Mauá;Sudeste;830;824;6;0.72
43;4314902;Porto Alegre;Sul;2695;2677;18;0.67
35;3550308;São Paulo;Sudeste;26679;26512;167;0.63
35;3518800;Guarulhos;Sudeste;2426;2416;10;0.41
33;3304904;São Gonçalo;Sudeste;2362;2357;5;0.21
27;2704302;Maceió;Nordeste;1534;1531;3;0.2
33;3304557;Rio de Janeiro;Sudeste;13371;13370;1;0.01
24;2408102;Natal;Nordeste;1076;1076;0;0.0
29;2927408;Salvador;Nordeste;4476;4476;0;0.0
31;3106200;Belo Horizonte;Sudeste;5113;5113;0;0.0
26;2603454;Camaragibe;Nordeste;272;272;0;0.0
26;2611606;Recife;Nordeste;2796;2796;0;0.0
23;2304400;Fortaleza;Nordeste;4280;4280;0;0.0
35;3548807;São Caetano do Sul;Sudeste;421;421;0;0.0
43;4304606;Canoas;Sul;645;645;0;0.0
41;4106902;Curitiba;Sul;3168;3168;0;0.0
