CD_SETOR;NM_MUN;NM_BAIRRO;V00001;V00002;V00005;V00006;razao_moradores
330455705250341;Rio de Janeiro;Ribeira;8.0;0.0;8.0;0.0;1.0
355030890000760;São Paulo;;53.0;0.0;54.0;0.0;1.0188679245283019
520870705130095;Goiânia;;228.0;0.0;244.0;0.0;1.0701754385964912
355030835000436;São Paulo;;26.0;0.0;28.0;0.0;1.0769230769230769
355030835000485;São Paulo;;75.0;0.0;81.0;0.0;1.08
150580905000081;Portel;;117.0;0.0;1028.0;0.0;8.786324786324787
150580905000034;Portel;;64.0;0.0;531.0;0.0;8.296875
150580905000029;Portel;;184.0;0.0;1509.0;0.0;8.201086956521738
150580905000032;Portel;;191.0;0.0;1346.0;0.0;7.047120418848167
330455705080087;Rio de Janeiro;Rio Comprido;104.0;0.0;719.0;0.0;6.913461538461538
