componente;autovalor;pct_variancia;pct_acumulado;horn_aleatorio;passa_kaiser;passa_horn;cenario
1;3.2997;47.1383;47.1383;1.0259;True;True;ivs7_spearman
2;1.0486;14.9794;62.1177;1.0155;True;True;ivs7_spearman
3;0.9575;13.6788;75.7966;1.0075;False;False;ivs7_spearman
4;0.6198;8.8541;84.6507;1.0005;False;False;ivs7_spearman
5;0.5544;7.9205;92.5712;0.9927;False;False;ivs7_spearman
6;0.3478;4.9683;97.5395;0.9848;False;False;ivs7_spearman
7;0.1722;2.4605;100.0;0.9731;False;False;ivs7_spearman
1;3.2391;53.9858;53.9858;1.0232;True;True;ivs6_sem_lixo_spearman
2;0.9585;15.9757;69.9615;1.0119;False;False;ivs6_sem_lixo_spearman
3;0.7048;11.7473;81.7088;1.0031;False;False;ivs6_sem_lixo_spearman
4;0.5714;9.5238;91.2327;0.9962;False;False;ivs6_sem_lixo_spearman
5;0.3536;5.8942;97.1268;0.988;False;False;ivs6_sem_lixo_spearman
6;0.1724;2.8732;100.0;0.9776;False;False;ivs6_sem_lixo_spearman
