CD_SETOR;NM_MUN;indice_01;escore_F1;escore_F2;escore_composto;escore_composto_bruto
130030005000001;Autazes;0.525866;-0.447088;2.228325;0.488288;0.672527
130030005000002;Autazes;0.518247;0.450191;2.258198;1.082305;0.996335
130030005000003;Autazes;0.669122;0.879583;2.313003;1.380734;1.698395
130030005000004;Autazes;0.54459;0.192436;2.406129;0.966386;1.084789
130030005000005;Autazes;0.596047;1.38299;2.024148;1.607152;1.675358
130030005000006;Autazes;0.529264;1.077085;1.971628;1.389835;1.301637
130030005000007;Autazes;0.55863;0.915306;2.141286;1.343933;1.368761
130030005000008;Autazes;0.766599;1.3085;2.342496;1.670005;2.164891
130030005000009;Autazes;0.613918;0.711977;2.30384;1.268523;1.310654
130030005000011;Autazes;0.656552;1.603698;2.003086;1.743332;2.251924
130030005000046;Autazes;0.460801;0.120817;2.062909;0.79981;0.567868
130030005000047;Autazes;0.636525;0.782685;2.284063;1.307596;1.939306
130030005000049;Autazes;0.631404;0.824654;2.223108;1.313581;1.257049
130030005000050;Autazes;0.676268;0.290613;2.554772;1.082207;1.326909
130030005000051;Autazes;0.716106;0.871301;2.399741;1.405673;1.900723
130030005000052;Autazes;0.505306;-0.555221;2.57893;0.540539;0.5509
130030005000053;Autazes;0.677183;0.83388;2.297957;1.34575;1.721625
130030005000054;Autazes;0.72191;1.11363;2.291879;1.525569;1.883701
130030005000055;Autazes;0.751579;1.353728;2.263486;1.671797;2.151495
130030005000056;Autazes;0.747878;1.292439;2.274139;1.635661;2.098963
130030005000057;Autazes;0.636824;0.250249;2.461767;1.023439;1.287155
130030005000058;Autazes;0.566004;0.165062;2.482939;0.975437;0.728495
130030005000059;Autazes;0.541873;1.050718;2.04523;1.398419;1.209778
130030005000060;Autazes;0.60306;0.813921;2.300696;1.333726;1.537297
130030005000062;Autazes;0.680424;0.225411;2.58605;1.050737;1.471262
130030005000077;Autazes;0.760194;1.422769;2.259641;1.715356;2.212735
130030005000078;Autazes;0.751774;1.3409;2.248412;1.658184;2.274593
130030005000079;Autazes;0.751566;1.342575;2.260719;1.663576;2.222042
130030005000080;Autazes;0.749561;1.468891;2.183372;1.718688;2.347231
130030005000083;Autazes;0.760501;1.414951;2.138307;1.66785;2.044133
130030005000084;Autazes;0.752183;1.279579;2.260243;1.622438;2.23634
130030005000099;Autazes;0.635307;1.62317;1.969336;1.744196;2.142194
130030005000100;Autazes;0.398041;1.424785;-0.873355;0.621311;0.557121
130030005000101;Autazes;0.398958;1.111725;0.326806;0.837302;0.469951
130030005000106;Autazes;0.652894;1.136166;2.179785;1.501036;1.64528
130030005000107;Autazes;0.740694;1.114573;2.342144;1.543756;1.987645
130030005000197;Autazes;0.701574;0.482929;2.53555;1.200565;1.552609
130030005000198;Autazes;0.733166;1.048863;2.367877;1.510016;1.927182
130030010000001;Autazes;0.566509;1.550952;1.689156;1.599271;1.807846
130030010000010;Autazes;0.565032;1.138593;1.94364;1.420053;1.81548
130030010000023;Autazes;0.563921;1.178127;1.855057;1.414795;1.737224
130030010000036;Autazes;0.569628;1.539715;1.8198;1.637638;1.733031
130260305000004;Manaus;0.606661;0.943494;1.130541;1.00889;1.144068
130260305000005;Manaus;0.614163;0.741163;2.158711;1.236765;1.332805
130260305000027;Manaus;0.683147;0.675601;2.423621;1.286743;1.477241
130260305000028;Manaus;0.65864;1.02612;2.217155;1.442529;1.459377
130260305000037;Manaus;0.591543;0.652025;1.231091;0.854477;1.058066
130260305000041;Manaus;0.573399;1.057922;2.114614;1.427362;1.501772
130260305000045;Manaus;0.405183;1.477038;0.024814;0.969312;0.687676
130260305000046;Manaus;0.426973;0.717882;1.564163;1.013758;0.68207
130260305000048;Manaus;0.634254;0.948879;2.149948;1.368796;1.309437
130260305000050;Manaus;0.399247;1.082053;1.073625;1.079106;0.600314
130260305000052;Manaus;0.39637;1.239932;0.32411;0.919743;0.636876
130260305000053;Manaus;0.508461;0.901877;1.970842;1.275608;1.098629
130260305000054;Manaus;0.691194;0.384598;2.519085;1.130856;1.632039
130260305000064;Manaus;0.570154;-0.65691;1.44114;0.076609;0.49612
130260305000066;Manaus;0.566782;-0.66502;1.625039;0.135629;0.546006
130260305000067;Manaus;0.590148;-0.171221;2.203811;0.659136;0.700603
130260305000070;Manaus;0.564911;-0.92644;1.620465;-0.035992;0.430514
130260305000071;Manaus;0.586734;-1.183007;2.461223;0.091087;0.398739
130260305000074;Manaus;0.577133;-0.913796;1.648501;-0.017967;0.465825
130260305000075;Manaus;0.559348;-1.050418;1.758145;-0.06849;0.381694
130260305000077;Manaus;0.743699;1.257621;2.308555;1.625048;1.983865
130260305000078;Manaus;0.59813;0.396837;2.165198;1.01509;1.020068
130260305000079;Manaus;0.386683;0.794747;0.536172;0.704345;0.388355
130260305000080;Manaus;0.403773;0.534991;0.810511;0.631318;0.317915
130260305000081;Manaus;0.488821;0.472112;1.856216;0.956022;0.708446
130260305000082;Manaus;0.388495;0.658048;0.513063;0.607358;0.380702
130260305000083;Manaus;0.411292;1.000649;1.590129;1.206743;0.594669
130260305000084;Manaus;0.383843;1.248476;-0.82747;0.522685;0.460714
130260305000085;Manaus;0.457277;0.889122;1.649503;1.154966;0.704034
130260305000086;Manaus;0.384193;1.207314;-0.814924;0.5003;0.391856
130260305000087;Manaus;0.385238;1.234838;0.219026;0.87969;0.454816
