variavel;ACP_1;ACP_2;PAF_1;PAF_2;dif_1;dif_2;comun_ACP;comun_PAF;SMC;cenario
Água inadequada;-0.503;0.7544;-0.4321;0.5133;0.0709;0.2411;0.8221;0.4502;0.222;ivs6_sem_lixo_spearman
Esgoto inadequado;-0.6665;0.4133;-0.5764;0.3149;0.0901;0.0985;0.615;0.4313;0.3165;ivs6_sem_lixo_spearman
Razão de moradores;-0.6164;0.0234;-0.5029;0.0855;0.1135;0.0621;0.3804;0.2602;0.2326;ivs6_sem_lixo_spearman
Analfabetismo 15+;-0.8252;-0.2987;-0.7829;-0.1589;0.0423;0.1398;0.7701;0.6382;0.5965;ivs6_sem_lixo_spearman
Renda (invertida);-0.8713;-0.3118;-0.9122;-0.2928;0.0409;0.019;0.8564;0.9178;0.7352;ivs6_sem_lixo_spearman
Cor/raça PPI;-0.8497;-0.1779;-0.8135;-0.0673;0.0362;0.1106;0.7537;0.6664;0.6482;ivs6_sem_lixo_spearman
Água inadequada;-0.501;0.0495;-0.4211;0.4453;0.0799;0.3958;0.2535;0.3756;0.222;ivs7_spearman
Esgoto inadequado;-0.6723;0.1348;-0.5954;0.3778;0.077;0.243;0.4702;0.4972;0.3333;ivs7_spearman
Lixo inadequado;-0.2918;0.8799;-0.2244;0.0435;0.0674;0.8364;0.8594;0.0523;0.1056;ivs7_spearman
Razão de moradores;-0.5943;-0.4959;-0.4872;0.0737;0.1071;0.5696;0.5991;0.2428;0.2608;ivs7_spearman
Analfabetismo 15+;-0.8208;-0.087;-0.7782;-0.1513;0.0426;0.0643;0.6813;0.6285;0.5965;ivs7_spearman
Renda (invertida);-0.8713;-0.0134;-0.9166;-0.3037;0.0453;0.2903;0.7594;0.9323;0.7356;ivs7_spearman
Cor/raça PPI;-0.8517;0.0064;-0.8181;-0.0759;0.0335;0.0823;0.7254;0.6751;0.6531;ivs7_spearman
