cenario;componente;autovalor;horn
S0;1;3.299682;1.025880
S0;2;1.048559;1.015480
S0;3;0.957518;1.007539
S0;4;0.619788;1.000507
S0;5;0.554434;0.992686
S0;6;0.347784;0.984790
S0;7;0.172234;0.973118
S1;1;3.239149;1.023157
S1;2;0.958542;1.011888
S1;3;0.704838;1.003117
S1;4;0.571431;0.996157
S1;5;0.353649;0.988043
S1;6;0.172390;0.977639
S2;1;3.441900;1.029197
S2;2;1.238634;1.019153
S2;3;1.036059;1.010374
S2;4;0.699286;1.003581
S2;5;0.572811;0.996015
S2;6;0.501821;0.989082
S2;7;0.339723;0.981381
S2;8;0.169767;0.971217
S3;1;3.622325;1.029197
S3;2;1.116798;1.019153
S3;3;1.026901;1.010374
S3;4;0.676782;1.003581
S3;5;0.560346;0.996015
S3;6;0.477690;0.989082
S3;7;0.347178;0.981381
S3;8;0.171980;0.971217
S4;1;3.392757;1.029197
S4;2;1.116954;1.019153
S4;3;1.003440;1.010374
S4;4;0.785857;1.003581
S4;5;0.624627;0.996015
S4;6;0.562406;0.989082
S4;7;0.343894;0.981381
S4;8;0.170065;0.971217
S5;1;3.307229;1.029197
S5;2;1.048667;1.019153
S5;3;0.993883;1.010374
S5;4;0.956884;1.003581
S5;5;0.619320;0.996015
S5;6;0.554381;0.989082
S5;7;0.347717;0.981381
S5;8;0.171921;0.971217
S6;1;3.830091;1.036425
S6;2;1.553311;1.027586
S6;3;1.035148;1.019603
S6;4;1.014811;1.012442
S6;5;0.779035;1.006143
S6;6;0.707382;1.000080
S6;7;0.576407;0.993917
S6;8;0.526275;0.987838
S6;9;0.469670;0.980332
S6;10;0.339494;0.972415
S6;11;0.168375;0.963218
S7;1;3.776516;1.035337
S7;2;1.545465;1.024924
S7;3;1.015971;1.017603
S7;4;0.784415;1.009931
S7;5;0.728022;1.003402
S7;6;0.640561;0.996506
S7;7;0.526279;0.990788
S7;8;0.470664;0.981377
S7;9;0.343496;0.974184
S7;10;0.168611;0.965948
S0_renda_sem_extremo;1;3.299737;1.025880
S0_renda_sem_extremo;2;1.048562;1.015480
S0_renda_sem_extremo;3;0.957520;1.007539
S0_renda_sem_extremo;4;0.619788;1.000507
S0_renda_sem_extremo;5;0.554432;0.992686
S0_renda_sem_extremo;6;0.347785;0.984790
S0_renda_sem_extremo;7;0.172176;0.973118
S0_renda_mediana_mun;1;3.299709;1.025880
S0_renda_mediana_mun;2;1.048559;1.015480
S0_renda_mediana_mun;3;0.957530;1.007539
S0_renda_mediana_mun;4;0.619787;1.000507
S0_renda_mediana_mun;5;0.554433;0.992686
S0_renda_mediana_mun;6;0.347783;0.984790
S0_renda_mediana_mun;7;0.172198;0.973118
S0_postos_mun;1;3.062107;1.025880
S0_postos_mun;2;1.175081;1.015480
S0_postos_mun;3;0.901406;1.007539
S0_postos_mun;4;0.722317;1.000507
S0_postos_mun;5;0.650511;0.992686
S0_postos_mun;6;0.326243;0.984790
S0_postos_mun;7;0.162334;0.973118
S1_postos_mun;1;3.004906;1.023157
S1_postos_mun;2;1.073664;1.011888
S1_postos_mun;3;0.743290;1.003117
S1_postos_mun;4;0.689444;0.996157
S1_postos_mun;5;0.326279;0.988043
S1_postos_mun;6;0.162417;0.977639
S6_renda_sem_extremo;1;3.830154;1.036425
S6_renda_sem_extremo;2;1.553321;1.027586
S6_renda_sem_extremo;3;1.035150;1.019603
S6_renda_sem_extremo;4;1.014812;1.012442
S6_renda_sem_extremo;5;0.779037;1.006143
S6_renda_sem_extremo;6;0.707385;1.000080
S6_renda_sem_extremo;7;0.576402;0.993917
S6_renda_sem_extremo;8;0.526276;0.987838
S6_renda_sem_extremo;9;0.469671;0.980332
S6_renda_sem_extremo;10;0.339497;0.972415
S6_renda_sem_extremo;11;0.168294;0.963218
S6_renda_mediana_mun;1;3.830118;1.036425
S6_renda_mediana_mun;2;1.553333;1.027586
S6_renda_mediana_mun;3;1.035150;1.019603
S6_renda_mediana_mun;4;1.014811;1.012442
S6_renda_mediana_mun;5;0.779039;1.006143
S6_renda_mediana_mun;6;0.707383;1.000080
S6_renda_mediana_mun;7;0.576404;0.993917
S6_renda_mediana_mun;8;0.526276;0.987838
S6_renda_mediana_mun;9;0.469671;0.980332
S6_renda_mediana_mun;10;0.339493;0.972415
S6_renda_mediana_mun;11;0.168321;0.963218
S6_postos_mun;1;3.308203;1.036425
S6_postos_mun;2;2.008344;1.027586
S6_postos_mun;3;1.071746;1.019603
S6_postos_mun;4;0.970876;1.012442
S6_postos_mun;5;0.873556;1.006143
S6_postos_mun;6;0.724482;1.000080
S6_postos_mun;7;0.642303;0.993917
S6_postos_mun;8;0.573052;0.987838
S6_postos_mun;9;0.370110;0.980332
S6_postos_mun;10;0.312694;0.972415
S6_postos_mun;11;0.144633;0.963218
