cenario;variavel;rotulo;sem_rotacao_f1;sem_rotacao_f2;varimax_f1;varimax_f2;promax_padrao_f1;promax_padrao_f2;promax_estrutura_f1;promax_estrutura_f2;comunalidade;comunalidade_obliqua;msa;pct_zeros;peso_indice_varimax
S0;pct_agua_inad;Água inadequada;0.501049;0.049472;0.482367;0.144287;0.478511;0.100336;0.493617;0.172381;0.253497;0.253497;0.752620;71.759666;0.053745
S0;pct_esgoto_inad;Esgoto inadequado;0.672347;0.134830;0.634202;0.260799;0.624906;0.203526;0.655549;0.297613;0.470229;0.470229;0.833720;68.667542;0.092905
S0;pct_lixo_inad;Lixo inadequado;0.291839;0.879927;0.118351;0.919475;0.064860;0.915075;0.202635;0.924840;0.859441;0.859441;0.699547;62.540408;0.260042
S0;razao_moradores;Razão de moradores;0.594286;-0.495858;0.678074;-0.373185;0.706888;-0.439128;0.640772;-0.332698;0.599052;0.599052;0.857192;0.000000;0.106203
S0;pct_analfab;Analfabetismo 15+;0.820794;-0.086987;0.822294;0.071430;0.826093;-0.004755;0.825377;0.119622;0.681269;0.681269;0.818644;10.581986;0.156184
S0;renda_inv;Renda (invertida);0.871316;-0.013354;0.857818;0.153358;0.857095;0.074451;0.868305;0.203497;0.759371;0.759371;0.724368;0.000000;0.169970
S0;pct_raca_pretpardind;Cor/raça PPI;0.851670;0.006433;0.834753;0.169028;0.832874;0.092385;0.846783;0.217784;0.725383;0.725383;0.781915;0.077674;0.160952
S1;pct_agua_inad;Água inadequada;0.502978;0.754376;0.086351;0.902559;-0.211212;0.998748;0.309681;0.888591;0.822070;0.822070;0.745384;71.759666;0.223343
S1;pct_esgoto_inad;Esgoto inadequado;0.666475;0.413318;0.391719;0.679395;0.207340;0.655882;0.549412;0.764019;0.615021;0.615021;0.849540;68.667542;0.126551
S1;razao_moradores;Razão de moradores;0.616352;0.023378;0.531993;0.312122;0.489966;0.197970;0.593216;0.453509;0.380437;0.380437;0.912901;0.000000;0.071646
S1;pct_analfab;Analfabetismo 15+;0.825172;-0.298696;0.868313;0.127122;0.930199;-0.110681;0.872473;0.374460;0.770128;0.770128;0.815202;10.581986;0.190869
S1;renda_inv;Renda (invertida);0.871292;-0.311775;0.915135;0.137411;0.979185;-0.112752;0.920380;0.397938;0.856354;0.856354;0.715346;0.000000;0.212008
S1;pct_raca_pretpardind;Cor/raça PPI;0.849720;-0.177926;0.832820;0.245139;0.850124;0.033649;0.867674;0.477028;0.753682;0.753682;0.779696;0.077674;0.175584
S2;pct_agua_inad;Água inadequada;0.535165;0.630807;0.167703;0.810058;-0.040626;0.844003;0.324577;0.826424;0.684318;0.684318;0.692864;75.564813;0.146706
S2;pct_esgoto_inad;Esgoto inadequado;0.667084;0.224071;0.478299;0.516177;0.373469;0.456334;0.570926;0.617936;0.495208;0.495208;0.865512;71.728685;0.059568
S2;pct_lixo_inad;Lixo inadequado;0.275575;0.228417;0.132527;0.332495;0.051804;0.332458;0.195659;0.354873;0.128116;0.128116;0.698267;63.682018;0.024716
S2;razao_moradores;Razão de moradores;0.579246;-0.272141;0.638830;0.038503;0.676346;-0.098259;0.633829;0.194399;0.409586;0.409586;0.860887;0.000000;0.096580
S2;pct_analfab;Analfabetismo 15+;0.802732;-0.325542;0.860595;0.098654;0.898374;-0.081498;0.863110;0.307232;0.750357;0.750357;0.825185;11.720507;0.175273
S2;renda_inv;Renda (invertida);0.853496;-0.304576;0.895118;0.141371;0.923841;-0.042624;0.905398;0.357125;0.821222;0.821222;0.728397;0.000000;0.189618
S2;pct_raca_pretpardind;Cor/raça PPI;0.837993;-0.212353;0.837342;0.214905;0.841668;0.050004;0.863304;0.414196;0.747327;0.747327;0.789578;0.085616;0.165930
S2;pct_agua_nao_encanada;Água não chega;0.473248;0.648410;0.104918;0.795859;-0.104258;0.842336;0.260224;0.797223;0.644399;0.644399;0.743305;93.498262;0.141608
S3;pct_agua_inad;Água inadequada;0.549875;0.542053;0.173355;0.752418;-0.041893;0.790129;0.314662;0.771225;0.596185;0.596185;0.742826;71.781013;0.130144
S3;pct_esgoto_inad;Esgoto inadequado;0.677600;0.237786;0.444350;0.564125;0.307651;0.524726;0.544440;0.663558;0.515684;0.515684;0.877039;68.684295;0.073157
S3;pct_lixo_inad;Lixo inadequado;0.296867;0.434033;0.017756;0.525546;-0.140702;0.574129;0.118380;0.510636;0.276514;0.276514;0.732662;62.551422;0.063493
S3;razao_moradores;Razão de moradores;0.566837;-0.374959;0.679517;-0.012434;0.736651;-0.159946;0.664473;0.172476;0.461898;0.461898;0.861826;0.000000;0.109148
S3;pct_analfab;Analfabetismo 15+;0.794685;-0.330787;0.848127;0.147055;0.869988;-0.020848;0.860580;0.371744;0.740944;0.740944;0.832703;10.582549;0.170034
S3;renda_inv;Renda (invertida);0.848529;-0.290991;0.872226;0.209522;0.876980;0.042659;0.896230;0.438407;0.804678;0.804678;0.744263;0.000000;0.179834
S3;pct_raca_pretpardind;Cor/raça PPI;0.836075;-0.185520;0.805144;0.291859;0.779587;0.147647;0.846214;0.499445;0.733439;0.733439;0.807718;0.077704;0.153236
S3;pct_sem_agua_canalizada;Sem água canalizada;0.633117;0.457102;0.289175;0.725368;0.091249;0.735450;0.423129;0.776627;0.609780;0.609780;0.843236;66.029802;0.120954
S4;pct_agua_inad;Água inadequada;0.496406;0.415832;0.276872;0.585386;0.129959;0.585264;0.360464;0.636448;0.419335;0.419335;0.751972;74.382200;0.080558
S4;pct_esgoto_inad;Esgoto inadequado;0.663270;0.280863;0.484901;0.532618;0.363440;0.494991;0.558392;0.638131;0.518811;0.518811;0.847772;71.763544;0.066689
S4;pct_lixo_inad;Lixo inadequado;0.274557;0.602667;-0.002798;0.662254;-0.185564;0.713002;0.095251;0.639918;0.438588;0.438588;0.690598;63.729840;0.103103
S4;razao_moradores;Razão de moradores;0.590975;-0.359960;0.687370;-0.079663;0.745358;-0.196394;0.668009;0.097164;0.478824;0.478824;0.865895;0.000000;0.118248
S4;pct_analfab;Analfabetismo 15+;0.813926;-0.264211;0.849803;0.100589;0.866599;-0.028608;0.855331;0.312700;0.732283;0.732283;0.824697;11.986044;0.180738
S4;renda_inv;Renda (invertida);0.860610;-0.229854;0.877828;0.151327;0.882101;0.021471;0.890557;0.368885;0.793482;0.793482;0.727855;0.000000;0.192856
S4;pct_raca_pretpardind;Cor/raça PPI;0.843584;-0.150885;0.829323;0.215927;0.813240;0.098787;0.852148;0.419081;0.734401;0.734401;0.785312;0.089527;0.172132
S4;pct_sem_banheiro;Sem banheiro;0.408679;0.476412;0.171847;0.603702;0.014379;0.621881;0.259306;0.627545;0.393987;0.393987;0.886404;94.802186;0.085677
S5;pct_agua_inad;Água inadequada;0.501009;0.050742;0.483539;0.140624;0.478348;0.101044;0.493565;0.173082;0.253585;0.253585;0.753708;71.759666;0.053949
S5;pct_esgoto_inad;Esgoto inadequado;0.672196;0.134801;0.636675;0.254292;0.625100;0.202731;0.655630;0.296869;0.470019;0.470019;0.833908;68.667542;0.093531
S5;pct_lixo_inad;Lixo inadequado;0.291498;0.877779;0.127733;0.916052;0.066090;0.912651;0.203532;0.922604;0.855468;0.855468;0.699583;62.540408;0.257748
S5;razao_moradores;Razão de moradores;0.593489;-0.497268;0.673722;-0.381580;0.706094;-0.441363;0.639626;-0.335028;0.599505;0.599505;0.856981;0.000000;0.104732
S5;pct_analfab;Analfabetismo 15+;0.820437;-0.088569;0.822912;0.061458;0.826276;-0.007329;0.825172;0.117105;0.680961;0.680961;0.818678;10.581986;0.156252
S5;renda_inv;Renda (invertida);0.870555;-0.015636;0.858995;0.142261;0.857150;0.071084;0.867855;0.200168;0.758110;0.758110;0.724283;0.000000;0.170255
S5;pct_raca_pretpardind;Cor/raça PPI;0.851707;0.005658;0.836603;0.159789;0.833349;0.090638;0.846999;0.216138;0.725436;0.725436;0.781572;0.077674;0.161495
S5;pct_moradia_nao_convencional;Moradia não convencional;0.103844;0.045027;0.093974;0.063087;0.090513;0.055681;0.098898;0.069312;0.012811;0.012811;0.812511;92.193729;0.002038
