variavel;Água inadequada;Esgoto inadequado;Lixo inadequado;Razão de moradores;Analfabetismo 15+;Renda (invertida);Cor/raça PPI;Água não chega;Sem água canalizada;Sem banheiro;Moradia não convencional
Água inadequada;1.000000;0.393706;0.099987;0.205377;0.200151;0.211577;0.311655;0.450368;0.426338;0.249001;0.036894
Esgoto inadequado;0.393706;1.000000;0.200564;0.304391;0.404687;0.408235;0.388517;0.272886;0.331305;0.241735;0.054435
Lixo inadequado;0.099987;0.200564;1.000000;-0.062584;0.123074;0.170978;0.194585;0.115261;0.159844;0.123049;0.014669
Razão de moradores;0.205377;0.304391;-0.062584;1.000000;0.430641;0.404917;0.419736;0.121342;0.158273;0.133977;0.022136
Analfabetismo 15+;0.200151;0.404687;0.123074;0.430641;1.000000;0.759499;0.637229;0.202446;0.274336;0.192989;0.075989
Renda (invertida);0.211577;0.408235;0.170978;0.404917;0.759499;1.000000;0.789643;0.234582;0.312971;0.205582;0.063041
Cor/raça PPI;0.311655;0.388517;0.194585;0.419736;0.637229;0.789643;1.000000;0.231756;0.329236;0.199917;0.079760
Água não chega;0.450368;0.272886;0.115261;0.121342;0.202446;0.234582;0.231756;1.000000;0.505508;0.389632;0.030485
Sem água canalizada;0.426338;0.331305;0.159844;0.158273;0.274336;0.312971;0.329236;0.505508;1.000000;0.332245;0.062690
Sem banheiro;0.249001;0.241735;0.123049;0.133977;0.192989;0.205582;0.199917;0.389632;0.332245;1.000000;0.123046
Moradia não convencional;0.036894;0.054435;0.014669;0.022136;0.075989;0.063041;0.079760;0.030485;0.062690;0.123046;1.000000
