cenario;municipio_fora;n;fator1_maior_carga;peso_f1_varimax;delta_varimax;peso_f1_promax_padrao;delta_promax_padrao;lixo_fator_proprio;mais_move_varimax;mais_move_promax_padrao;lixo_muda
S0;(nenhum);87545;Renda (invertida);73.995760;0.000000;74.692486;0.000000;True;False;False;False
S0;Ananindeua;86884;Renda (invertida);73.681008;-0.314752;74.346378;-0.346108;True;False;False;False
S0;Anápolis;87020;Renda (invertida);73.865360;-0.130400;74.563387;-0.129099;True;False;False;False
S0;Arara;87526;Renda (invertida);73.995875;0.000115;74.692286;-0.000201;True;False;False;False
S0;Araçatuba;87148;Renda (invertida);74.085640;0.089880;74.775664;0.083178;True;False;False;False
S0;Autazes;87503;Renda (invertida);73.965279;-0.030481;74.658009;-0.034477;True;False;False;False
S0;Belo Horizonte;83581;Renda (invertida);74.549248;0.553488;75.111006;0.418520;True;False;False;False
S0;Belém;85678;Renda (invertida);73.904368;-0.091391;74.522777;-0.169710;True;False;False;False
S0;Brasília;83425;Renda (invertida);74.906886;0.911126;75.574266;0.881780;True;False;False;False
S0;Cachoeiro de Itapemirim;87219;Renda (invertida);74.013654;0.017894;74.706879;0.014393;True;False;False;False
S0;Camaragibe;87277;Renda (invertida);74.075714;0.079954;74.760617;0.068131;True;False;False;False
S0;Campinas;85577;Renda (invertida);74.209739;0.213979;74.965167;0.272680;True;False;False;False
S0;Campo Grande;86116;Renda (invertida);73.792817;-0.202943;74.509720;-0.182766;True;False;False;False
S0;Canoas;87035;Renda (invertida);74.069416;0.073657;74.767572;0.075086;True;False;False;False
S0;Capelinha;87490;Renda (invertida);74.011958;0.016198;74.710893;0.018406;True;False;False;False
S0;Chapada dos Guimarães;87515;Renda (invertida);74.004145;0.008385;74.701530;0.009044;True;False;False;False
S0;Charqueadas;87492;Renda (invertida);74.003673;0.007913;74.698140;0.005654;True;False;False;False
S0;Coroaci;87534;Renda (invertida);73.994662;-0.001098;74.690830;-0.001656;True;False;False;False
S0;Curitiba;85109;Renda (invertida);74.358533;0.362773;75.073750;0.381263;True;False;False;False
S0;Divinópolis;87099;Renda (invertida);74.058828;0.063068;74.754668;0.062182;True;False;False;False
S0;Duque de Caxias;85900;Renda (invertida);74.005910;0.010150;74.687224;-0.005262;True;False;False;False
S0;Feira de Santana;86611;Renda (invertida);73.899178;-0.096582;74.612084;-0.080402;True;False;False;False
