cenario;medida;n;n_fcu;auc
S0;indice_01 (pesos Varimax);87545;18901;0.837711
S0;renda invertida sozinha;87545;18901;0.881854
S0;media simples de postos;87545;18901;0.868439
S1;indice_01 (pesos Varimax);87545;18901;0.813091
S1;renda invertida sozinha;87545;18901;0.881854
S1;media simples de postos;87545;18901;0.853275
S2;indice_01 (pesos Varimax);78256;15667;0.838370
S2;renda invertida sozinha;78256;15667;0.888895
S2;media simples de postos;78256;15667;0.870657
S3;indice_01 (pesos Varimax);87512;18890;0.836492
S3;renda invertida sozinha;87512;18890;0.881949
S3;media simples de postos;87512;18890;0.858358
S4;indice_01 (pesos Varimax);75955;14705;0.856790
S4;renda invertida sozinha;75955;14705;0.889668
S4;media simples de postos;75955;14705;0.875777
S5;indice_01 (pesos Varimax);87545;18901;0.837856
S5;renda invertida sozinha;87545;18901;0.881854
S5;media simples de postos;87545;18901;0.868088
S6;indice_01 (pesos Varimax);69458;12573;0.847210
S6;renda invertida sozinha;69458;12573;0.895223
S6;media simples de postos;69458;12573;0.869359
S7;indice_01 (pesos Varimax);69458;12573;0.839355
S7;renda invertida sozinha;69458;12573;0.895223
S7;media simples de postos;69458;12573;0.855959
S0_renda_sem_extremo;indice_01 (pesos Varimax);87544;18900;0.838220
S0_renda_sem_extremo;renda invertida sozinha;87544;18900;0.881901
S0_renda_sem_extremo;media simples de postos;87544;18900;0.868449
S0_renda_mediana_mun;indice_01 (pesos Varimax);87545;18901;0.838215
S0_renda_mediana_mun;renda invertida sozinha;87545;18901;0.881877
S0_renda_mediana_mun;media simples de postos;87545;18901;0.868443
S0_postos_mun;indice_01 (pesos Varimax);87545;18901;0.852850
S0_postos_mun;renda invertida sozinha;87545;18901;0.845387
S0_postos_mun;media simples de postos;87545;18901;0.817782
S1_postos_mun;indice_01 (pesos Varimax);87545;18901;0.841135
S1_postos_mun;renda invertida sozinha;87545;18901;0.845387
S1_postos_mun;media simples de postos;87545;18901;0.813264
S6_renda_sem_extremo;indice_01 (pesos Varimax);69457;12572;0.847845
S6_renda_sem_extremo;renda invertida sozinha;69457;12572;0.895294
S6_renda_sem_extremo;media simples de postos;69457;12572;0.869375
S6_renda_mediana_mun;indice_01 (pesos Varimax);69458;12573;0.847842
S6_renda_mediana_mun;renda invertida sozinha;69458;12573;0.895260
S6_renda_mediana_mun;media simples de postos;69458;12573;0.869367
S6_postos_mun;indice_01 (pesos Varimax);69458;12573;0.865101
S6_postos_mun;renda invertida sozinha;69458;12573;0.864348
S6_postos_mun;media simples de postos;69458;12573;0.755466
