CD_UF;CD_MUN;NM_MUN;regiao;n_setores;n_setores_fcu;pct_setores_fcu;n_fcu_distintas;pop_fcu;pct_pop_fcu;dom_fcu;pct_dom_fcu
35;3550308;São Paulo;Sudeste;27301.0;3875.0;14.19;1359.0;1728235.0;15.09;587037.0;13.63
33;3304557;Rio de Janeiro;Sudeste;13782.0;2846.0;20.65;813.0;1349942.0;21.73;507526.0;20.83
29;2927408;Salvador;Nordeste;4542.0;1822.0;40.11;262.0;1033258.0;42.74;404597.0;42.21
13;1302603;Manaus;Norte;3281.0;1697.0;51.72;236.0;1151828.0;55.81;339795.0;53.93
23;2304400;Fortaleza;Nordeste;4408.0;1321.0;29.97;503.0;578071.0;23.8;197158.0;22.92
15;1501402;Belém;Norte;2068.0;1156.0;55.9;214.0;745140.0;57.17;235157.0;55.6
26;2611606;Recife;Nordeste;2835.0;779.0;27.48;295.0;361548.0;24.28;129578.0;23.67
31;3106200;Belo Horizonte;Sudeste;5166.0;702.0;13.59;218.0;307729.0;13.29;106884.0;12.02
21;2111300;São Luís;Nordeste;1736.0;548.0;31.57;100.0;358818.0;34.58;116485.0;33.41
15;1500800;Ananindeua;Norte;761.0;448.0;58.87;124.0;288081.0;60.17;91704.0;59.21
35;3518800;Guarulhos;Sudeste;2510.0;403.0;16.06;170.0;215969.0;16.72;69852.0;15.51
22;2211001;Teresina;Nordeste;1531.0;369.0;24.1;170.0;198189.0;22.88;60892.0;21.76
53;5300108;Brasília;Centro-Oeste;5418.0;349.0;6.44;62.0;198769.0;7.06;61780.0;6.25
27;2704302;Maceió;Nordeste;1620.0;339.0;20.93;192.0;151593.0;15.83;51947.0;15.47
43;4314902;Porto Alegre;Sul;2744.0;323.0;11.77;125.0;175519.0;13.17;61029.0;10.93
35;3548708;São Bernardo do Campo;Sudeste;1759.0;305.0;17.34;94.0;158245.0;19.52;55231.0;18.37
35;3509502;Campinas;Sudeste;2592.0;302.0;11.65;118.0;140784.0;12.36;45628.0;10.62
41;4106902;Curitiba;Sul;3190.0;254.0;7.96;166.0;122695.0;6.92;42238.0;6.16
24;2408102;Natal;Nordeste;1129.0;218.0;19.31;73.0;146017.0;19.44;50350.0;18.65
35;3529401;Mauá;Sudeste;846.0;211.0;24.94;60.0;115251.0;27.55;40127.0;26.29
35;3518701;Guarujá;Sudeste;772.0;201.0;26.04;55.0;106010.0;36.86;34443.0;34.66
21;2111201;São José de Ribamar;Nordeste;609.0;164.0;26.93;30.0;72444.0;29.62;23128.0;28.53
33;3301702;Duque de Caxias;Sudeste;1837.0;153.0;8.33;55.0;70181.0;8.68;25280.0;8.48
33;3302403;Macaé;Sudeste;740.0;117.0;15.81;26.0;49832.0;20.22;18237.0;19.68
33;3304904;São Gonçalo;Sudeste;2413.0;114.0;4.72;63.0;39956.0;4.46;15011.0;4.19
52;5208707;Goiânia;Centro-Oeste;2310.0;86.0;3.72;55.0;25616.0;1.78;8967.0;1.63
29;2910800;Feira de Santana;Nordeste;1103.0;79.0;7.16;49.0;44699.0;7.25;15558.0;7.02
33;3303500;Nova Iguaçu;Sudeste;1638.0;75.0;4.58;58.0;22344.0;2.84;7854.0;2.73
32;3201209;Cachoeiro de Itapemirim;Sudeste;411.0;71.0;17.27;38.0;37019.0;19.93;13875.0;19.55
26;2603454;Camaragibe;Nordeste;272.0;46.0;16.91;24.0;20264.0;13.71;7255.0;13.6
41;4125506;São José dos Pinhais;Sul;522.0;41.0;7.85;37.0;20488.0;6.22;6748.0;5.76
50;5002704;Campo Grande;Centro-Oeste;1665.0;21.0;1.26;16.0;7862.0;0.88;2644.0;0.81
33;3305208;São Pedro da Aldeia;Sudeste;375.0;19.0;5.07;9.0;5475.0;5.26;1955.0;5.1
43;4304606;Canoas;Sul;659.0;17.0;2.58;10.0;7833.0;2.25;2468.0;1.86
52;5201108;Anápolis;Centro-Oeste;593.0;12.0;2.02;6.0;7477.0;1.87;2344.0;1.65
31;3122306;Divinópolis;Sudeste;548.0;8.0;1.46;4.0;2133.0;0.92;832.0;0.96
27;2704708;Marechal Deodoro;Nordeste;102.0;5.0;4.9;5.0;1882.0;3.12;581.0;2.96
23;2307601;Limoeiro do Norte;Nordeste;174.0;4.0;2.3;4.0;1941.0;3.26;691.0;3.23
32;3202454;Ibatiba;Sudeste;54.0;3.0;5.56;2.0;791.0;3.12;280.0;3.01
41;4118501;Pato Branco;Sul;172.0;2.0;1.16;1.0;1158.0;1.26;373.0;1.09
35;3552700;Tabatinga;Sudeste;39.0;1.0;2.56;1.0;154.0;1.04;55.0;1.0
35;3545209;Salto;Sudeste;215.0;1.0;0.47;1.0;335.0;0.25;113.0;0.24
21;2111631;São Raimundo do Doca Bezerra;Nordeste;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25;2500908;Arara;Nordeste;31.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
42;4217808;Taió;Sul;74.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
23;2304905;Groaíras;Nordeste;24.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
43;4305355;Charqueadas;Sul;70.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
31;3157005;Salinas;Sudeste;81.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
41;4123857;Santa Maria do Oeste;Sul;37.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
21;2109601;Rosário;Nordeste;92.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
51;5103007;Chapada dos Guimarães;Centro-Oeste;75.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
15;1505809;Portel;Norte;91.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
52;5208608;Goianésia;Centro-Oeste;108.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
15;1505650;Placas;Norte;51.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
52;5222054;Vicentinópolis;Centro-Oeste;17.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
43;4319307;São Paulo das Missões;Sul;18.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
26;2600401;Água Preta;Nordeste;70.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
31;3145877;Orizânia;Sudeste;21.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
26;2607950;Jaqueira;Nordeste;19.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
35;3548807;São Caetano do Sul;Sudeste;431.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
28;2803401;Japoatã;Nordeste;36.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
29;2915502;Itajuípe;Nordeste;47.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
35;3520103;Igarapava;Sudeste;65.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
29;2916401;Itapetinga;Nordeste;115.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
29;2932606;Urandi;Nordeste;33.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
35;3517505;Guapiaçu;Sudeste;50.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
31;3112307;Capelinha;Sudeste;93.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
35;3502804;Araçatuba;Sudeste;523.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
31;3119203;Coroaci;Sudeste;29.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13;1300300;Autazes;Norte;269.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
