regiao;variavel;n;media;dp;p25;mediana;p75
Centro-Oeste;pct_sem_banheiro;8685.0;0.0007321965348332978;0.016066749480600294;0.0;0.0;0.0
Centro-Oeste;pct_sem_banheiro_nem_sanitario;9346.0;1.2049446602123877e-05;0.0006224039151906212;0.0;0.0;0.0
Nordeste;pct_sem_banheiro;15747.0;0.00620566888009652;0.0332805353594481;0.0;0.0;0.0
Nordeste;pct_sem_banheiro_nem_sanitario;18246.0;0.0005159853714582695;0.007784627161335865;0.0;0.0;0.0
Norte;pct_sem_banheiro;4430.0;0.011336895569845042;0.04463072531647461;0.0;0.0;0.0
Norte;pct_sem_banheiro_nem_sanitario;5450.0;0.0007220520203567374;0.011839319871163413;0.0;0.0;0.0
Sudeste;pct_sem_banheiro;56669.0;0.0009060219780833134;0.014083637238634043;0.0;0.0;0.0
Sudeste;pct_sem_banheiro_nem_sanitario;61032.0;3.557660685177263e-05;0.0029490639151574143;0.0;0.0;0.0
Sul;pct_sem_banheiro;6381.0;0.0015606028871250391;0.0165531402391683;0.0;0.0;0.0
Sul;pct_sem_banheiro_nem_sanitario;7065.0;8.026237801891233e-05;0.0024223879410943993;0.0;0.0;0.0
