NM_MUN;pct_agua_inad;pct_esgoto_inad;pct_lixo_inad;razao_moradores;pct_analfab;renda_media;pct_raca_pretpardind
Ananindeua;0.0;0.0;0.0;0.0;9.7;0.0;0.0
Anápolis;0.0;0.0;0.0;0.0;5.91;0.0;0.0
Arara;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Araçatuba;0.0;0.0;0.0;0.0;18.81;0.0;0.0
Autazes;0.0;0.0;0.0;0.0;2.33;0.0;0.0
Belo Horizonte;0.0;0.0;0.0;0.0;22.47;0.0;0.0
Belém;0.0;0.0;0.0;0.0;6.84;0.0;0.0
Brasília;0.0;0.0;0.0;0.0;16.33;0.0;0.0
Cachoeiro de Itapemirim;0.0;0.0;0.0;0.0;10.68;0.0;0.0
Camaragibe;0.0;0.0;0.0;0.0;1.47;0.0;0.0
Campinas;0.0;0.0;0.0;0.0;20.03;0.0;0.0
Campo Grande;0.0;0.0;0.0;0.0;10.85;0.0;0.0
Canoas;0.0;0.0;0.0;0.0;20.93;0.0;0.0
Capelinha;0.0;0.0;0.0;0.0;1.79;0.0;0.0
Chapada dos Guimarães;0.0;0.0;0.0;0.0;11.76;0.0;0.0
Charqueadas;0.0;0.0;0.0;0.0;5.36;0.0;0.0
Coroaci;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Curitiba;0.0;0.0;0.0;0.0;23.11;0.0;0.0
Divinópolis;0.0;0.0;0.0;0.0;10.08;0.0;0.0
Duque de Caxias;0.0;0.0;0.0;0.0;8.0;0.0;0.0
Feira de Santana;0.0;0.0;0.0;0.0;6.32;0.0;0.0
Fortaleza;0.0;0.0;0.0;0.0;5.89;0.0;0.0
Goianésia;0.0;0.0;0.0;0.0;2.27;0.0;0.0
Goiânia;0.0;0.0;0.0;0.0;14.35;0.0;0.0
Groaíras;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Guapiaçu;0.0;0.0;0.0;0.0;2.5;0.0;0.0
Guarujá;0.0;0.0;0.0;0.0;15.67;0.0;0.0
Guarulhos;0.0;0.0;0.0;0.0;11.75;0.08;0.0
Ibatiba;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Igarapava;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Itajuípe;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Itapetinga;0.0;0.0;0.0;0.0;0.96;0.0;0.0
Japoatã;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Jaqueira;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Limoeiro do Norte;0.0;0.0;0.0;0.0;1.03;0.0;0.0
Macaé;0.0;0.0;0.0;0.0;16.99;0.0;0.0
Maceió;0.0;0.0;0.0;0.0;5.94;0.07;0.0
Manaus;0.0;0.0;0.0;0.0;9.53;0.0;0.0
Marechal Deodoro;0.0;0.0;0.0;0.0;1.14;0.0;0.0
Mauá;0.0;0.0;0.0;0.0;8.5;0.0;0.0
Natal;0.0;0.0;0.0;0.0;5.02;0.0;0.0
Nova Iguaçu;0.0;0.0;0.0;0.0;6.63;0.06;0.0
Orizânia;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pato Branco;0.0;0.0;0.0;0.0;19.21;0.0;0.0
Placas;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Portel;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Porto Alegre;0.0;0.0;0.0;0.0;27.49;0.0;0.0
Recife;0.0;0.0;0.0;0.0;10.41;0.0;0.0
Rio de Janeiro;0.0;0.0;0.0;0.0;20.01;0.02;0.0
Rosário;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Salinas;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Salto;0.0;0.0;0.0;0.0;8.67;0.0;0.0
Salvador;0.0;0.02;0.0;0.0;12.96;0.0;0.0
Santa Maria do Oeste;0.0;0.0;0.0;0.0;0.0;0.0;0.0
São Bernardo do Campo;0.0;0.0;0.0;0.0;18.46;0.0;0.0
São Caetano do Sul;0.0;0.0;0.0;0.0;29.69;0.0;0.0
São Gonçalo;0.0;0.0;0.0;0.0;13.79;0.0;0.0
São José de Ribamar;0.0;0.0;0.0;0.0;10.52;0.0;0.0
São José dos Pinhais;0.0;0.0;0.0;0.0;10.31;0.0;0.0
São Luís;0.0;0.0;0.0;0.0;9.86;0.0;0.0
São Paulo;0.0;0.0;0.0;0.0;19.65;0.02;0.01
São Paulo das Missões;0.0;0.0;0.0;0.0;16.67;0.0;0.0
São Pedro da Aldeia;0.0;0.0;0.0;0.0;23.42;0.3;0.0
São Raimundo do Doca Bezerra;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Tabatinga;0.0;0.0;0.0;0.0;3.23;0.0;0.0
Taió;0.0;0.0;0.0;0.0;22.0;0.0;0.0
Teresina;0.0;0.0;0.0;0.0;4.82;0.0;0.0
Urandi;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Vicentinópolis;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Água Preta;0.0;0.0;0.0;0.0;0.0;0.0;0.0
