codigo;tipo;total;pct_total;n_Norte;pct_Norte;n_Nordeste;pct_Nordeste;n_Centro-Oeste;pct_Centro-Oeste;n_Sudeste;pct_Sudeste;n_Sul;pct_Sul
V00048;Casa de vila/condomínio;770631;3.958;81696;6.597;188864;4.635;78234;3.831;362914;3.436;58923;3.794
V00049;Apartamento;5530215;28.403;193849;15.654;918939;22.554;545751;26.722;3298308;31.227;573368;36.915
V00050;Cortiço/casa de cômodos;103884;0.534;7228;0.584;13729;0.337;18437;0.903;62871;0.595;1619;0.104
V00051;Maloca indígena;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0
V00052;Estrutura permanente degradada;7071;0.036;337;0.027;490;0.012;1129;0.055;4975;0.047;140;0.009
V00053;Tenda/barraca;3660;0.019;104;0.008;879;0.022;481;0.024;2133;0.02;63;0.004
V00054;Dentro de estabelecimento;1336;0.007;63;0.005;264;0.006;193;0.009;784;0.007;32;0.002
V00055;Abrigo natural/outras;2705;0.014;111;0.009;351;0.009;139;0.007;2072;0.02;32;0.002
V00056;Estrutura em logradouro público;1675;0.009;135;0.011;276;0.007;41;0.002;1172;0.011;51;0.003
V00057;Estrutura não-residencial degradada;2515;0.013;6;0.0;110;0.003;60;0.003;2335;0.022;4;0.0
V00058;Veículo;29;0.0;4;0.0;0;0.0;0;0.0;10;0.0;15;0.001
