CD_MUN;NM_MUN;regiao;n_setores;n_suspeitos;renda_max_com;renda_max_sem;pct_1o_decil_com;pct_1o_decil_sem;ganho_pp
1300300;Autazes;Norte;43;1;16414.4;3484.51;81.4;14.3;67.1
3545209;Salto;Sudeste;196;1;60597.49;20776.59;94.9;59.0;35.9
3106200;Belo Horizonte;Sudeste;5113;2;170418.06;45385.44;98.8;70.8;28.0
1501402;Belém;Norte;2004;6;78444.47;21160.24;92.7;69.6;23.1
3304904;São Gonçalo;Sudeste;2357;3;29589.72;18509.95;94.0;79.1;14.9
2111201;São José de Ribamar;Nordeste;580;1;9895.28;9392.32;49.8;45.8;4.0
3303500;Nova Iguaçu;Sudeste;1569;5;16802.11;15450.7;81.2;78.1;3.1
3529401;Mauá;Sudeste;824;2;8009.68;7638.36;11.2;10.1;1.1
2500908;Arara;Nordeste;19;0;1725.23;1725.23;5.3;5.3;0.0
2307601;Limoeiro do Norte;Nordeste;97;0;4373.5;4373.5;9.3;9.3;0.0
2304905;Groaíras;Nordeste;14;0;2085.04;2085.04;21.4;21.4;0.0
2408102;Natal;Nordeste;1076;0;34588.24;34588.24;75.3;75.3;0.0
1505809;Portel;Norte;26;0;3111.98;3111.98;30.8;30.8;0.0
2111300;São Luís;Nordeste;1674;1;37914.19;37914.19;84.5;84.5;0.0
2109601;Rosário;Nordeste;36;0;2668.39;2668.39;13.9;13.9;0.0
3202454;Ibatiba;Sudeste;35;0;3706.36;3706.36;17.1;17.1;0.0
3112307;Capelinha;Sudeste;56;0;9623.4;9623.4;46.4;46.4;0.0
3119203;Coroaci;Sudeste;11;0;2901.45;2901.45;27.3;27.3;0.0
3122306;Divinópolis;Sudeste;496;0;18628.57;18628.57;71.8;71.8;0.0
2915502;Itajuípe;Nordeste;29;0;3522.86;3522.86;34.5;34.5;0.0
2910800;Feira de Santana;Nordeste;997;0;18908.2;18908.2;72.9;72.9;0.0
2916401;Itapetinga;Nordeste;104;0;7351.34;7351.34;62.5;62.5;0.0
2704708;Marechal Deodoro;Nordeste;88;0;14648.79;14648.79;63.6;63.6;0.0
3157005;Salinas;Sudeste;53;0;4997.72;4997.72;28.3;28.3;0.0
3304557;Rio de Janeiro;Sudeste;13370;6;54926.08;54926.08;77.8;77.8;0.0
3305208;São Pedro da Aldeia;Sudeste;333;0;13827.79;13827.79;49.1;49.1;0.0
3502804;Araçatuba;Sudeste;489;0;18241.03;18241.03;49.1;49.1;0.0
2611606;Recife;Nordeste;2796;0;67237.29;67237.29;83.6;83.6;0.0
2704302;Maceió;Nordeste;1531;0;20246.43;20246.43;71.6;71.6;0.0
2600401;Água Preta;Nordeste;32;0;2154.48;2154.48;6.2;6.2;0.0
1505650;Placas;Norte;16;0;5042.44;5042.44;50.0;50.0;0.0
4314902;Porto Alegre;Sul;2677;1;49759.69;49759.69;64.8;64.8;0.0
3552700;Tabatinga;Sudeste;31;0;3871.78;3871.78;12.9;12.9;0.0
4106902;Curitiba;Sul;3168;0;39925.88;39925.88;58.7;58.7;0.0
4118501;Pato Branco;Sul;151;0;16576.46;16576.46;37.7;37.7;0.0
4125506;São José dos Pinhais;Sul;456;0;13375.0;13375.0;33.6;33.6;0.0
4217808;Taió;Sul;50;0;6250.0;6250.0;8.0;8.0;0.0
4304606;Canoas;Sul;645;0;15425.38;15425.38;38.4;38.4;0.0
3301702;Duque de Caxias;Sudeste;1788;0;20733.54;20733.54;78.8;78.8;0.0
3520103;Igarapava;Sudeste;56;0;6030.09;6030.09;8.9;8.9;0.0
3509502;Campinas;Sudeste;2461;0;27295.92;27295.92;55.8;55.8;0.0
3517505;Guapiaçu;Sudeste;40;0;8300.35;8300.35;37.5;37.5;0.0
3518701;Guarujá;Sudeste;689;0;19984.99;19984.99;56.0;56.0;0.0
3548708;São Bernardo do Campo;Sudeste;1685;0;32109.07;32109.07;63.7;63.7;0.0
3518800;Guarulhos;Sudeste;2416;1;65031.76;65031.76;92.5;92.5;0.0
3548807;São Caetano do Sul;Sudeste;421;0;24794.39;24794.39;28.5;28.5;0.0
3550308;São Paulo;Sudeste;26512;5;140172.64;140172.64;93.3;93.3;0.0
