classe_renda;CD_SETOR;NM_MUN;CD_MUN;NM_BAIRRO;regiao;e_favela;NM_FCU;renda_media_setor;renda_p50_mun;razao_mediana_mun;renda_lim_sup_mun;n_domicilios;populacao;pct_analfab;pct_raca_pretpardind;outlier_global;outlier_municipio;motivos
EXTREMO;355030832000202;São Paulo;3550308;;Sudeste;não;;140172.64;3108.9;45.1;20232.52;78.0;184;0.0;0.0598;True;True;
EXTREMO;261160605200257;Recife;2611606;Vasco da Gama;Nordeste;não;;67237.29;1778.67;37.8;13138.88;190.0;519;0.0267;0.5973;True;True;
EXTREMO;292740805090354;Salvador;2927408;Patamares;Nordeste;não;;61671.36;1637.87;37.7;8339.92;397.0;747;0.0284;0.3748;True;True;
EXTREMO;351880005000793;Guarulhos;3518800;São João;Sudeste;não;;65031.76;2361.56;27.5;9209.94;148.0;390;0.0129;0.4615;True;True;
EXTREMO;130260305110044;Manaus;1302603;Aleixo;Norte;não;;50802.73;1852.55;27.4;6265.62;159.0;562;0.0;0.2883;True;True;
EXTREMO;355030868000461;São Paulo;3550308;;Sudeste;não;;77468.68;3108.9;24.9;20232.52;73.0;187;0.0184;0.2406;True;True;
EXTREMO;355030883000206;São Paulo;3550308;;Sudeste;não;;73198.95;3108.9;23.5;20232.52;85.0;201;0.0;0.0746;True;True;
EXTREMO;292740805270142;Salvador;2927408;Barra;Nordeste;não;;37428.33;1637.87;22.9;8339.92;132.0;242;;0.4959;True;True;
EXTREMO;292740805070406;Salvador;2927408;Horto Florestal;Nordeste;não;;36765.67;1637.87;22.4;8339.92;92.0;301;0.012;0.3223;True;True;
EXTREMO;130260305130065;Manaus;1302603;Ponta Negra;Norte;não;;40720.0;1852.55;22.0;6265.62;81.0;229;0.0;0.3275;True;True;
EXTREMO;261160605230448;Recife;2611606;Cohab;Nordeste;não;;39151.35;1778.67;22.0;13138.88;211.0;615;0.0565;0.6878;True;True;
EXTREMO;211130005001268;São Luís;2111300;;Nordeste;não;;37914.19;1745.24;21.7;8425.68;215.0;577;0.0204;0.5199;True;True;
EXTREMO;330455705110034;Rio de Janeiro;3304557;Lagoa;Sudeste;não;;54926.08;2702.45;20.3;16100.61;148.0;402;0.0;0.0746;True;True;
EXTREMO;130260305130111;Manaus;1302603;Ponta Negra;Norte;não;;36276.19;1852.55;19.6;6265.62;106.0;319;0.0;0.4483;True;True;
EXTREMO;292740805270367;Salvador;2927408;Vitória;Nordeste;não;;31642.55;1637.87;19.3;8339.92;171.0;434;0.0131;0.3226;True;True;
EXTREMO;355030835000481;São Paulo;3550308;;Sudeste;não;;59642.86;3108.9;19.2;20232.52;8.0;11;0.0;0.0;True;True;
EXTREMO;230440005150146;Fortaleza;2304400;Papicu;Nordeste;não;;32466.4;1708.86;19.0;7273.3;147.0;367;0.0182;0.4768;True;True;
EXTREMO;130260305080282;Manaus;1302603;Ponta Negra;Norte;não;;34887.53;1852.55;18.8;6265.62;244.0;767;0.0;0.3937;True;True;
EXTREMO;292740805090341;Salvador;2927408;Patamares;Nordeste;não;;29446.94;1637.87;18.0;8339.92;134.0;453;0.0;0.3333;True;True;
EXTREMO;230440005150422;Fortaleza;2304400;Dionísio Torres;Nordeste;não;;30432.13;1708.86;17.8;7273.3;178.0;496;0.0111;0.4012;True;True;
EXTREMO;292740805270325;Salvador;2927408;Barra;Nordeste;não;;29098.22;1637.87;17.8;8339.92;57.0;179;;0.2235;True;True;
EXTREMO;292740805070344;Salvador;2927408;Horto Florestal;Nordeste;não;;28742.36;1637.87;17.5;8339.92;353.0;1217;;0.3229;True;True;
EXTREMO;130260305110351;Manaus;1302603;Nossa Senhora das Graças;Norte;não;;31466.12;1852.55;17.0;6265.62;114.0;313;;0.3578;True;True;
EXTREMO;240810205080034;Natal;2408102;Areia Preta;Nordeste;não;;34588.24;2035.34;17.0;11639.32;18.0;49;0.0;0.0;True;True;
EXTREMO;130260305110353;Manaus;1302603;Aleixo;Norte;não;;31125.56;1852.55;16.8;6265.62;108.0;396;;0.3535;True;True;
EXTREMO;292740805070343;Salvador;2927408;Horto Florestal;Nordeste;não;;27153.73;1637.87;16.6;8339.92;284.0;867;0.0045;0.3033;True;True;
EXTREMO;292740805070422;Salvador;2927408;Horto Florestal;Nordeste;não;;27254.84;1637.87;16.6;8339.92;31.0;113;;0.177;True;True;
EXTREMO;330455705231199;Rio de Janeiro;3304557;Campo Grande;Sudeste;não;;44886.68;2702.45;16.6;16100.61;132.0;349;0.0129;0.3983;True;True;
EXTREMO;355030832000249;São Paulo;3550308;;Sudeste;não;;50482.44;3108.9;16.2;20232.52;102.0;161;0.0;0.205;True;True;
EXTREMO;355030890000570;São Paulo;3550308;;Sudeste;não;;50227.34;3108.9;16.2;20232.52;44.0;100;0.0;0.11;True;True;
EXTREMO;292740805060478;Salvador;2927408;Pituba;Nordeste;não;;26141.53;1637.87;16.0;8339.92;94.0;310;0.0;0.329;True;True;
EXTREMO;330455705291082;Rio de Janeiro;3304557;Barra da Tijuca;Sudeste;não;;43179.7;2702.45;16.0;16100.61;64.0;203;0.0;0.0443;True;True;
EXTREMO;292740805070345;Salvador;2927408;Horto Florestal;Nordeste;não;;25829.89;1637.87;15.8;8339.92;315.0;1013;;0.3129;True;True;
EXTREMO;355030835000220;São Paulo;3550308;;Sudeste;não;;49141.54;3108.9;15.8;20232.52;66.0;137;0.0;0.1095;True;True;
EXTREMO;150080005000676;Ananindeua;1500800;;Norte;não;;27854.05;1772.53;15.7;6318.54;129.0;339;;0.587;True;True;
EXTREMO;130260305130071;Manaus;1302603;Ponta Negra;Norte;não;;28824.65;1852.55;15.6;6265.62;147.0;460;0.0;0.25;True;True;
EXTREMO;355030832000275;São Paulo;3550308;;Sudeste;não;;47815.84;3108.9;15.4;20232.52;72.0;179;;0.1564;True;True;
EXTREMO;292740805090355;Salvador;2927408;Patamares;Nordeste;não;;24969.65;1637.87;15.2;8339.92;217.0;476;0.0247;0.2962;True;True;
EXTREMO;292740805060317;Salvador;2927408;Itaigara;Nordeste;não;;24778.74;1637.87;15.1;8339.92;49.0;144;0.0;0.2153;True;True;
EXTREMO;330455705090287;Rio de Janeiro;3304557;Glória;Sudeste;não;;40862.33;2702.45;15.1;16100.61;165.0;274;;0.2628;True;True;
EXTREMO;230440005200421;Fortaleza;2304400;Cambeba;Nordeste;não;;25482.18;1708.86;14.9;7273.3;201.0;451;;0.4102;True;True;
EXTREMO;310620005620422;Belo Horizonte;3106200;Belvedere;Sudeste;não;;45385.44;3060.31;14.8;17598.99;171.0;489;0.0;0.0961;True;True;
EXTREMO;230440005190066;Fortaleza;2304400;Cocó;Nordeste;não;;24872.49;1708.86;14.6;7273.3;278.0;759;0.0082;0.2964;True;True;
EXTREMO;355030845000388;São Paulo;3550308;;Sudeste;não;;45250.3;3108.9;14.6;20232.52;120.0;209;;0.0957;True;True;
EXTREMO;130260305130187;Manaus;1302603;Ponta Negra;Norte;não;;26778.35;1852.55;14.5;6265.62;64.0;209;;0.4402;True;True;
EXTREMO;292740805060347;Salvador;2927408;Imbuí;Nordeste;não;;23588.55;1637.87;14.4;8339.92;342.0;1044;;0.5718;True;True;
EXTREMO;355030802000120;São Paulo;3550308;;Sudeste;não;;44802.58;3108.9;14.4;20232.52;81.0;207;0.0;0.0725;True;True;
EXTREMO;261160605210338;Recife;2611606;Ilha do Retiro;Nordeste;não;;25428.74;1778.67;14.3;13138.88;263.0;788;;0.1891;True;True;
EXTREMO;355030835000292;São Paulo;3550308;;Sudeste;não;;43930.3;3108.9;14.1;20232.52;159.0;374;;0.1016;True;True;
EXTREMO;292740805070326;Salvador;2927408;Horto Florestal;Nordeste;não;;22399.56;1637.87;13.7;8339.92;104.0;290;0.0;0.2724;True;True;
EXTREMO;292740805220527;Salvador;2927408;Resgate;Nordeste;não;;22377.49;1637.87;13.7;8339.92;186.0;499;0.0067;0.7515;True;True;
EXTREMO;355030885000171;São Paulo;3550308;;Sudeste;não;;42725.41;3108.9;13.7;20232.52;209.0;444;;0.0203;True;True;
EXTREMO;230440005150092;Fortaleza;2304400;Meireles;Nordeste;não;;23231.53;1708.86;13.6;7273.3;200.0;545;;0.3303;True;True;
EXTREMO;261160605230409;Recife;2611606;Boa Viagem;Nordeste;não;;24206.84;1778.67;13.6;13138.88;114.0;274;0.0159;0.2555;True;True;
EXTREMO;355030862000192;São Paulo;3550308;;Sudeste;não;;42222.32;3108.9;13.6;20232.52;130.0;200;0.0;0.065;True;True;
