CD_UF;CD_MUN;NM_MUN;regiao;n_setores;resp_feminino;resp_masculino;resp_total_sexo;pct_resp_feminino
13;1300300;Autazes;Norte;184;4738;6064;10802;43.86
13;1302603;Manaus;Norte;3199;337947;292635;630582;53.59
15;1500800;Ananindeua;Norte;738;83762;71236;154998;54.04
15;1501402;Belém;Norte;2031;233214;190105;423319;55.09
15;1505650;Placas;Norte;47;2442;3436;5878;41.54
15;1505809;Portel;Norte;71;6323;7101;13424;47.1
21;2109601;Rosário;Nordeste;87;6945;5178;12123;57.29
21;2111201;São José de Ribamar;Nordeste;589;45036;36053;81089;55.54
21;2111300;São Luís;Nordeste;1699;194826;154195;349021;55.82
21;2111631;São Raimundo do Doca Bezerra;Nordeste;19;583;1098;1681;34.68
22;2211001;Teresina;Nordeste;1493;154113;125982;280095;55.02
23;2304400;Fortaleza;Nordeste;4280;480894;379941;860835;55.86
23;2304905;Groaíras;Nordeste;24;1921;2089;4010;47.91
23;2307601;Limoeiro do Norte;Nordeste;164;10911;10534;21445;50.88
24;2408102;Natal;Nordeste;1076;141949;128650;270599;52.46
25;2500908;Arara;Nordeste;31;2409;1926;4335;55.57
26;2600401;Água Preta;Nordeste;69;4695;4101;8796;53.38
26;2603454;Camaragibe;Nordeste;272;27989;25442;53431;52.38
26;2607950;Jaqueira;Nordeste;19;1889;1376;3265;57.86
26;2611606;Recife;Nordeste;2796;306303;241805;548108;55.88
27;2704302;Maceió;Nordeste;1534;177389;158649;336038;52.79
27;2704708;Marechal Deodoro;Nordeste;98;9956;9684;19640;50.69
28;2803401;Japoatã;Nordeste;36;2196;2381;4577;47.98
29;2910800;Feira de Santana;Nordeste;1094;120054;101681;221735;54.14
29;2915502;Itajuípe;Nordeste;47;3694;3310;7004;52.74
29;2916401;Itapetinga;Nordeste;114;12233;11843;24076;50.81
29;2927408;Salvador;Nordeste;4476;535151;424348;959499;55.77
29;2932606;Urandi;Nordeste;33;1803;3333;5136;35.11
31;3106200;Belo Horizonte;Sudeste;5113;458035;432261;890296;51.45
31;3112307;Capelinha;Sudeste;90;6987;7162;14149;49.38
31;3119203;Coroaci;Sudeste;29;1280;2019;3299;38.8
31;3122306;Divinópolis;Sudeste;535;41416;45706;87122;47.54
31;3145877;Orizânia;Sudeste;21;943;2070;3013;31.3
31;3157005;Salinas;Sudeste;81;6506;8393;14899;43.67
32;3201209;Cachoeiro de Itapemirim;Sudeste;405;33020;37977;70997;46.51
32;3202454;Ibatiba;Sudeste;54;3159;6140;9299;33.97
33;3301702;Duque de Caxias;Sudeste;1805;156721;141499;298220;52.55
33;3302403;Macaé;Sudeste;679;44686;48021;92707;48.2
33;3303500;Nova Iguaçu;Sudeste;1595;151825;135866;287691;52.77
33;3304557;Rio de Janeiro;Sudeste;13371;1327087;1112201;2439288;54.4
33;3304904;São Gonçalo;Sudeste;2362;187048;171159;358207;52.22
33;3305208;São Pedro da Aldeia;Sudeste;353;17446;20888;38334;45.51
35;3502804;Araçatuba;Sudeste;502;37584;40233;77817;48.3
35;3509502;Campinas;Sudeste;2502;212278;217617;429895;49.38
35;3517505;Guapiaçu;Sudeste;50;3402;4347;7749;43.9
35;3518701;Guarujá;Sudeste;701;51253;48252;99505;51.51
35;3518800;Guarulhos;Sudeste;2426;236322;214591;450913;52.41
35;3520103;Igarapava;Sudeste;62;4748;5118;9866;48.12
35;3529401;Mauá;Sudeste;830;73607;79106;152713;48.2
35;3545209;Salto;Sudeste;207;21021;25775;46796;44.92
35;3548708;São Bernardo do Campo;Sudeste;1709;153219;147548;300767;50.94
35;3548807;São Caetano do Sul;Sudeste;421;30332;31682;62014;48.91
35;3550308;São Paulo;Sudeste;26679;2285321;2031003;4316324;52.95
35;3552700;Tabatinga;Sudeste;36;2847;2666;5513;51.64
41;4106902;Curitiba;Sul;3168;332804;353514;686318;48.49
41;4118501;Pato Branco;Sul;170;15920;18428;34348;46.35
41;4123857;Santa Maria do Oeste;Sul;37;1084;2522;3606;30.06
41;4125506;São José dos Pinhais;Sul;512;53549;63644;117193;45.69
42;4217808;Taió;Sul;67;2632;4183;6815;38.62
43;4304606;Canoas;Sul;645;69497;63358;132855;52.31
43;4305355;Charqueadas;Sul;61;5738;6285;12023;47.73
43;4314902;Porto Alegre;Sul;2695;309221;249525;558746;55.34
43;4319307;São Paulo das Missões;Sul;18;631;1602;2233;28.26
50;5002704;Campo Grande;Centro-Oeste;1645;163729;162278;326007;50.22
51;5103007;Chapada dos Guimarães;Centro-Oeste;70;3052;3838;6890;44.3
52;5201108;Anápolis;Centro-Oeste;581;65162;77221;142383;45.77
52;5208608;Goianésia;Centro-Oeste;105;11163;14881;26044;42.86
52;5208707;Goiânia;Centro-Oeste;2289;275035;274516;549551;50.05
52;5222054;Vicentinópolis;Centro-Oeste;16;1071;2104;3175;33.73
53;5300108;Brasília;Centro-Oeste;5264;489270;500014;989284;49.46
