CD_UF;CD_MUN;NM_MUN;n;media;dp;p25;mediana;p75
13;1300300;Autazes;161.0;0.4453123437722721;0.22240355505323497;0.2857142857142857;0.42857142857142855;0.5819209039548022
13;1302603;Manaus;3196.0;0.5324600303919221;0.09039595010286648;0.48414128022595615;0.5410545738414592;0.5903820058390559
15;1500800;Ananindeua;736.0;0.5409980836569304;0.07776520739796411;0.4897959183673469;0.5430311008721409;0.5917620601301407
15;1501402;Belém;2027.0;0.5509253451502365;0.07526061683378177;0.5092183517417161;0.5546875;0.6006897452335163
15;1505650;Placas;45.0;0.3916490028684603;0.22086660182494808;0.1797752808988764;0.4230769230769231;0.5789473684210527
15;1505809;Portel;70.0;0.45142293875357453;0.16451833485984;0.3333333333333333;0.45655181086519114;0.5683760683760684
21;2109601;Rosário;85.0;0.5604690188685052;0.1179499597947898;0.4810126582278481;0.5833333333333334;0.631578947368421
21;2111201;São José de Ribamar;588.0;0.5538831385539073;0.09524715248735445;0.493964858670741;0.5660036684626848;0.6160262891809909
21;2111300;São Luís;1699.0;0.5558327427968681;0.08035531735197726;0.5066997667045523;0.5596330275229358;0.6105869571432656
21;2111631;São Raimundo do Doca Bezerra;18.0;0.32377162731035347;0.11844365114532447;0.2396103896103896;0.3301282051282051;0.37430144641683105
22;2211001;Teresina;1490.0;0.5525325698260751;0.09560531698472521;0.49810196377825844;0.56;0.6173070790816326
23;2304400;Fortaleza;4273.0;0.5646348468970224;0.08630570074725345;0.5097276264591439;0.5673076923076923;0.6216216216216216
23;2304905;Groaíras;24.0;0.4741516700916842;0.12815425148511933;0.3588988672313501;0.5277569392348087;0.5687119675456389
23;2307601;Limoeiro do Norte;162.0;0.5002615792573744;0.11578002431944713;0.43922679890699323;0.5;0.5833333333333334
24;2408102;Natal;1074.0;0.5271528059407811;0.08403150931453292;0.4747805650450091;0.5259627915337257;0.5851770984958757
25;2500908;Arara;31.0;0.5121906862378426;0.1328414985847088;0.38530845876616493;0.5178571428571429;0.6198928072083268
26;2603454;Camaragibe;272.0;0.519760692152765;0.07921830129343646;0.47047364400305575;0.523342670401494;0.5802020202020202
26;2607950;Jaqueira;19.0;0.5342830603465202;0.15441887048453157;0.48907987866531855;0.5802469135802469;0.635551948051948
26;2611606;Recife;2796.0;0.5601388510828349;0.08067329591800274;0.5084033613445378;0.5643358941703298;0.6159420289855072
26;2600401;Água Preta;69.0;0.5067242749995581;0.15351300053576591;0.41379310344827586;0.5384615384615384;0.6227758007117438
27;2704302;Maceió;1531.0;0.5276056160192731;0.08998906999226682;0.4666666666666667;0.5297805642633229;0.5919650524007076
27;2704708;Marechal Deodoro;96.0;0.49273481460056273;0.13757735713297312;0.40443461630408795;0.48898851659587855;0.5702236614202877
28;2803401;Japoatã;35.0;0.45465797626009163;0.12041511506445549;0.37290807664322095;0.484375;0.5378081542351454
29;2910800;Feira de Santana;1094.0;0.5431402740205024;0.10450571846391417;0.4706419063975955;0.5446102819237147;0.6122139764996908
29;2915502;Itajuípe;45.0;0.4944366293137702;0.13222788044728007;0.4583333333333333;0.5423728813559322;0.5598086124401914
29;2916401;Itapetinga;114.0;0.4924720392808123;0.1390221195939904;0.4310770883695944;0.5018182779915632;0.5731032618489817
29;2927408;Salvador;4472.0;0.5585215895001477;0.07678031571099882;0.5131104959805854;0.5627705627705628;0.6093881523569024
29;2932606;Urandi;33.0;0.3388468772771666;0.08763631226907993;0.2755102040816326;0.3333333333333333;0.40875912408759124
31;3106200;Belo Horizonte;5109.0;0.5143346130687131;0.08527752646784174;0.4608695652173913;0.5175097276264592;0.5714285714285714
31;3112307;Capelinha;90.0;0.4566440979328406;0.1576967876446624;0.3520281690140845;0.47043144061492687;0.5676003734827264
31;3119203;Coroaci;29.0;0.344406313253278;0.13548357437364258;0.24324324324324326;0.35;0.4788732394366197
31;3122306;Divinópolis;531.0;0.4608687821732904;0.12241878290572233;0.3870550745550746;0.4755244755244755;0.5390457368718238
31;3145877;Orizânia;20.0;0.28918579581610915;0.17150718943318102;0.16115552325581395;0.22988699612076235;0.37887153245354166
31;3157005;Salinas;81.0;0.4042445234646916;0.13564219523269114;0.30952380952380953;0.42379182156133827;0.5050505050505051
32;3201209;Cachoeiro de Itapemirim;405.0;0.4574333934606578;0.1291766254137737;0.3834808259587021;0.46206896551724136;0.5428571428571428
32;3202454;Ibatiba;54.0;0.32399333136603786;0.16225588217747616;0.1883938393839384;0.3333333333333333;0.42925315425315425
33;3301702;Duque de Caxias;1803.0;0.5247332903106008;0.08501906460849348;0.4680519208625563;0.5277777777777778;0.5850060216780409
33;3302403;Macaé;667.0;0.47557846098014;0.11116587755445986;0.4101089728727104;0.4838709677419355;0.5586147520820888
33;3303500;Nova Iguaçu;1594.0;0.5277059470232229;0.07709170175631391;0.4778301886792453;0.5325187086511696;0.5799468085106383
33;3304557;Rio de Janeiro;13354.0;0.5429848518363821;0.08387777848518767;0.49514563106796117;0.5486725663716814;0.5984848484848485
33;3304904;São Gonçalo;2357.0;0.5225352648786626;0.08121151085327614;0.47107438016528924;0.5269461077844312;0.5765765765765766
33;3305208;São Pedro da Aldeia;349.0;0.4576737310095764;0.11398268236358187;0.4;0.45664739884393063;0.5294117647058824
35;3502804;Araçatuba;498.0;0.47984431599257427;0.12052047050440132;0.40409413281753703;0.48726062966569295;0.5740740740740741
35;3509502;Campinas;2493.0;0.4930659679337803;0.09585921821181238;0.43537414965986393;0.502262443438914;0.5591836734693878
35;3517505;Guapiaçu;48.0;0.43132987704725734;0.17987119817585576;0.310087095627444;0.44267834793491867;0.5472027972027972
35;3518701;Guarujá;698.0;0.5026357745223407;0.09946983633617622;0.43824072648914886;0.5071443151663605;0.5675296082599454
35;3518800;Guarulhos;2423.0;0.5277935046714598;0.09410515244099543;0.46855221518987344;0.5306122448979592;0.5891151425398
