variavel;regiao;n_setores;pct_0;pct_1_49;pct_50mais
Água inadequada;Norte;6270;11.8;57.4;30.8
Água inadequada;Nordeste;20050;48.9;41.6;9.5
Água inadequada;Centro-Oeste;9970;66.2;26.2;7.7
Água inadequada;Sudeste;62618;86.4;9.5;4.1
Água inadequada;Sul;7373;84.7;12.4;2.8
Esgoto inadequado;Norte;6270;30.2;44.8;25.1
Esgoto inadequado;Nordeste;20049;52.1;31.4;16.5
Esgoto inadequado;Centro-Oeste;9970;73.8;17.2;9.1
Esgoto inadequado;Sudeste;62618;79.8;15.8;4.4
Esgoto inadequado;Sul;7373;84.3;12.7;3.1
Lixo inadequado;Norte;6270;54.1;34.3;11.6
Lixo inadequado;Nordeste;20050;53.9;31.1;15.0
Lixo inadequado;Centro-Oeste;9970;66.6;22.1;11.3
Lixo inadequado;Sudeste;62618;63.7;26.2;10.1
Lixo inadequado;Sul;7373;65.5;24.4;10.1
