regiao;variavel;n;media;dp;p25;mediana;p75
Centro-Oeste;pct_apartamento;8557.0;0.290075859527635;0.39198568834611325;0.0;0.055;0.5793103448275863
Centro-Oeste;pct_casa;9125.0;0.7151408672583199;0.368903252109496;0.5121212121212121;0.9230769230769231;0.9896373056994818
Centro-Oeste;pct_casa_vila_condominio;8383.0;0.043387237658220536;0.15035450003255976;0.0;0.0;0.0
Centro-Oeste;pct_moradia_convencional;9490.0;0.9875189417280298;0.045148306611555306;0.9930555555555556;1.0;1.0
Centro-Oeste;pct_moradia_nao_convencional;9490.0;0.009692633981676078;0.04418820538438469;0.0;0.0;0.0
Nordeste;pct_apartamento;17660.0;0.2382081354174781;0.3679612782304465;0.0;0.0196078431372549;0.34676571491810537
Nordeste;pct_casa;18873.0;0.7561870268261727;0.343208048080901;0.658307210031348;0.9417989417989417;0.9952153110047847
Nordeste;pct_casa_vila_condominio;16901.0;0.05279275202711945;0.14159594831115976;0.0;0.0;0.03867403314917127
Nordeste;pct_moradia_convencional;19497.0;0.9935130394816312;0.023182610364285927;0.9948186528497409;1.0;1.0
Nordeste;pct_moradia_nao_convencional;19497.0;0.0035783972526466723;0.021688286091948783;0.0;0.0;0.0
Norte;pct_apartamento;5306.0;0.16393854891010903;0.2843439089709018;0.0;0.04094634873323398;0.14492753623188406
Norte;pct_casa;5826.0;0.789024745747716;0.27291145913438786;0.7627118644067796;0.8942698561601001;0.9642857142857143
Norte;pct_casa_vila_condominio;4994.0;0.07856260127553608;0.14073801701531616;0.0;0.03153863642822633;0.0922890216579537
Norte;pct_moradia_convencional;5915.0;0.9905423060039322;0.023864935872630638;0.9911504424778761;1.0;1.0
Norte;pct_moradia_nao_convencional;5915.0;0.005978021097195507;0.022817205595492853;0.0;0.0;0.0
Sudeste;pct_apartamento;56971.0;0.34761981249662693;0.41885208700746085;0.0;0.06611570247933884;0.875
Sudeste;pct_casa;58935.0;0.6692712089486248;0.3960701913322546;0.2583801498127341;0.9104477611940298;0.9957805907172996
Sudeste;pct_casa_vila_condominio;54803.0;0.038880790816965737;0.1219093181644097;0.0;0.0;0.0
Sudeste;pct_moradia_convencional;61989.0;0.9901519788393863;0.046847403210177226;0.9940476190476191;1.0;1.0
Sudeste;pct_moradia_nao_convencional;61989.0;0.006636263544974978;0.04588229737290076;0.0;0.0;0.0
Sul;pct_apartamento;6511.0;0.3902025193281559;0.41370171841628894;0.0;0.15827338129496402;0.896843191686241
Sul;pct_casa;6883.0;0.6370716114172817;0.38808250701884545;0.19837050164919018;0.8354838709677419;0.9841897233201581
Sul;pct_casa_vila_condominio;6223.0;0.04212931484679379;0.11770631178740602;0.0;0.0;0.02099371217018276
Sul;pct_moradia_convencional;7217.0;0.995946131498181;0.013305495754399843;0.9953488372093023;1.0;1.0
Sul;pct_moradia_nao_convencional;7217.0;0.001110319692230639;0.009414912970759871;0.0;0.0;0.0
