variavel;descricao_oficial;tema_ibge;bloco_do_projeto;arquivo_fonte;chave_do_setor_no_arquivo;usada_nos_indicadores;origem_da_descricao
CD_FCU;Código da Favela ou Comunidade Urbana à qual o setor pertence;Básico;Básico;Agregados_por_setores_basico_BR_20250417.csv;CD_SETOR;(identificação/auxiliar);Documentação do projeto
CD_SETOR;Geocódigo do setor censitário (15 dígitos): UF(2) + município(5) + distrito, subdistrito e setor;Básico;Básico;Agregados_por_setores_basico_BR_20250417.csv;CD_SETOR;(identificação/auxiliar);Documentação do projeto
CD_SIT;"Código da situação do setor: 1-3 = urbana; 5-8 = rural; 9 = massa d'água (população zero)";Básico;Básico;Agregados_por_setores_basico_BR_20250417.csv;CD_SETOR;(identificação/auxiliar);Documentação do projeto
CD_TIPO;"Tipo de setor. 1 = Favela e Comunidade Urbana (FCU); 0 = setor não especial; demais códigos = outros setores especiais";Básico;Básico;Agregados_por_setores_basico_BR_20250417.csv;CD_SETOR;(identificação/auxiliar);Documentação do projeto
NM_BAIRRO;Nome do bairro, quando o setor pertence a um bairro delimitado;Básico;Básico;Agregados_por_setores_basico_BR_20250417.csv;CD_SETOR;(identificação/auxiliar);Documentação do projeto
NM_FCU;Nome da Favela ou Comunidade Urbana à qual o setor pertence;Básico;Básico;Agregados_por_setores_basico_BR_20250417.csv;CD_SETOR;(identificação/auxiliar);Documentação do projeto
NM_MUN;Nome do município;Básico;Básico;Agregados_por_setores_basico_BR_20250417.csv;CD_SETOR;(identificação/auxiliar);Documentação do projeto
SITUACAO;Situação do setor: Urbana ou Rural (vazia nos setores de massa d'água);Básico;Básico;Agregados_por_setores_basico_BR_20250417.csv;CD_SETOR;(identificação/auxiliar);Documentação do projeto
v0001;Total de pessoas;Básico;Básico;Agregados_por_setores_basico_BR_20250417.csv;CD_SETOR;pct_raca_pretpardind, pct_crianca_0a4, pct_pop_0a14, pct_idoso_60mais;Dicionário oficial IBGE
CD_setor;Geocódigo do setor censitário — mesma chave que CD_SETOR, grafada assim neste arquivo do IBGE;Características do Domicílio - Parte 1;Domicílio 1;Agregados_por_setores_caracteristicas_domicilio1_BR.csv;CD_setor;(identificação/auxiliar);Documentação do projeto
V00001;Domicílios Particulares Permanentes Ocupados;Características do Domicílio - Parte 1;Domicílio 1;Agregados_por_setores_caracteristicas_domicilio1_BR.csv;CD_setor;pct_agua_inad, pct_esgoto_inad, pct_lixo_inad, razao_moradores, pct_dom_improv, pct_hab_precaria, pct_moradia_convencional, pct_moradia_nao_convencional, pct_apartamento, pct_casa, pct_casa_vila_condominio, pct_sem_banheiro, pct_sem_banheiro_nem_sanitario;Dicionário oficial IBGE
V00002;Domicílios Particulares Improvisados Ocupados;Características do Domicílio - Parte 1;Domicílio 1;Agregados_por_setores_caracteristicas_domicilio1_BR.csv;CD_setor;razao_moradores, pct_dom_improv, pct_hab_precaria;Dicionário oficial IBGE
V00005;Domicílios Particulares Permanentes Ocupados, Quantidade de moradores;Características do Domicílio - Parte 1;Domicílio 1;Agregados_por_setores_caracteristicas_domicilio1_BR.csv;CD_setor;razao_moradores;Dicionário oficial IBGE
V00006;Domicílios Particulares Improvisados Ocupados, Quantidade de moradores;Características do Domicílio - Parte 1;Domicílio 1;Agregados_por_setores_caracteristicas_domicilio1_BR.csv;CD_setor;razao_moradores;Dicionário oficial IBGE
V00047;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa;Características do Domicílio - Parte 1;Domicílio 1;Agregados_por_setores_caracteristicas_domicilio1_BR.csv;CD_setor;pct_moradia_convencional, pct_casa;Dicionário oficial IBGE
V00048;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa de vila ou em condomínio;Características do Domicílio - Parte 1;Domicílio 1;Agregados_por_setores_caracteristicas_domicilio1_BR.csv;CD_setor;pct_moradia_convencional, pct_casa_vila_condominio;Dicionário oficial IBGE
V00049;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é apartamento;Características do Domicílio - Parte 1;Domicílio 1;Agregados_por_setores_caracteristicas_domicilio1_BR.csv;CD_setor;pct_moradia_convencional, pct_apartamento;Dicionário oficial IBGE
V00050;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é habitação em casa de cômodos ou cortiço;Características do Domicílio - Parte 1;Domicílio 1;Agregados_por_setores_caracteristicas_domicilio1_BR.csv;CD_setor;pct_hab_precaria, pct_moradia_nao_convencional;Dicionário oficial IBGE
V00051;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é habitação indígena sem paredes ou maloca;Características do Domicílio - Parte 1;Domicílio 1;Agregados_por_setores_caracteristicas_domicilio1_BR.csv;CD_setor;pct_moradia_nao_convencional;Dicionário oficial IBGE
V00052;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é estrutura residencial permanente degradada ou inacabada;Características do Domicílio - Parte 1;Domicílio 1;Agregados_por_setores_caracteristicas_domicilio1_BR.csv;CD_setor;pct_hab_precaria, pct_moradia_nao_convencional;Dicionário oficial IBGE
V00053;Domicílios Particulares Improvisados Ocupados, Tipo de espécie é tenda ou barraca de lona, plástico ou tecido;Características do Domicílio - Parte 1;Domicílio 1;Agregados_por_setores_caracteristicas_domicilio1_BR.csv;CD_setor;pct_hab_precaria;Dicionário oficial IBGE
V00054;Domicílios Particulares Improvisados Ocupados, Tipo de espécie é dentro de estabelecimento em funcionamento;Características do Domicílio - Parte 1;Domicílio 1;Agregados_por_setores_caracteristicas_domicilio1_BR.csv;CD_setor;pct_hab_precaria;Dicionário oficial IBGE
V00055;Domicílios Particulares Improvisados Ocupados, Tipo de espécie é abrigo natural e outras estruturas improvisadas;Características do Domicílio - Parte 1;Domicílio 1;Agregados_por_setores_caracteristicas_domicilio1_BR.csv;CD_setor;pct_hab_precaria;Dicionário oficial IBGE
