indicador;media_entre_setores__BR_urbano;media_entre_setores__ELSI70_urbano;mediana__BR_urbano;mediana__ELSI70_urbano;razao_agregada__BR_urbano;razao_agregada__ELSI70_urbano;razao_ELSI_sobre_BR
iep_setor;113.599978;134.660824;84.403670;96.296296;80.495943;92.687524;1.151000
pct_agua_inad;0.095924;0.069611;0.000000;0.000000;0.083127;0.068738;0.827000
pct_analfab;0.059300;0.036433;0.040000;0.027094;0.058369;0.036032;0.617000
pct_apartamento;0.181463;0.314759;0.000000;0.052133;0.167357;0.286753;1.713000
pct_casa;0.820827;0.694712;0.975827;0.914414;0.800608;0.665203;0.831000
pct_casa_vila_condominio;0.030591;0.044262;0.000000;0.000000;0.026803;0.039917;1.489000
pct_crianca_0a4;0.060003;0.054103;0.058052;0.052083;0.061702;0.055476;0.899000
pct_dom_improv;0.000497;0.000726;0.000000;0.000000;0.000399;0.000634;1.588000
pct_esgoto_inad;0.161540;0.081958;0.000000;0.000000;0.154522;0.079689;0.516000
pct_hab_precaria;0.003445;0.006537;0.000000;0.000000;0.003367;0.006306;1.873000
pct_idoso_60mais;0.167889;0.175320;0.158137;0.165736;0.156815;0.166452;1.061000
pct_lixo_inad;0.101927;0.115803;0.000000;0.000000;0.093979;0.113636;1.209000
pct_moradia_convencional;0.993993;0.990965;1.000000;1.000000;0.994768;0.991873;0.997000
pct_moradia_nao_convencional;0.003038;0.005922;0.000000;0.000000;0.003005;0.005713;1.901000
pct_pop_0a14;0.186925;0.172590;0.186000;0.171946;0.194811;0.179584;0.922000
pct_raca_pretpardind;0.524148;0.526744;0.560025;0.571906;0.544250;0.550510;1.012000
pct_resp_feminino;0.507836;0.528130;0.515625;0.533898;0.509859;0.527993;1.036000
pct_sem_banheiro;0.005719;0.002346;0.000000;0.000000;0.004483;0.001809;0.404000
pct_sem_banheiro_nem_sanitario;0.000405;0.000160;0.000000;0.000000;0.000323;0.000116;0.358000
prop_70mais_entre_60mais;42.914726;42.671853;43.010753;42.857143;44.366739;44.579534;1.005000
razao_moradores;2.755520;2.690929;2.752757;2.712644;2.762337;2.694850;0.976000
rdi_setor;27.367052;28.120644;24.297521;25.161290;24.200962;25.465376;1.052000
renda_media;3208.880734;4187.409358;2312.820000;2572.390000;3208.880734;4187.409358;1.305000
