NM_MUN;CD_MUN;CD_UF;indicador;dimensao;componente_ivs;n_setores;media_entre_setores;dp_entre_setores;p25;mediana;p75;razao_agregada
Alta Floresta D'Oeste;1100015;11;pct_agua_inad;Saneamento;True;25;0.605260;0.275142;0.423529;0.556701;0.823529;0.586193
Alta Floresta D'Oeste;1100015;11;pct_esgoto_inad;Saneamento;True;25;0.741714;0.386380;0.850534;0.941176;0.977778;0.800374
Alta Floresta D'Oeste;1100015;11;pct_lixo_inad;Saneamento;True;25;0.191431;0.358984;0.000000;0.014423;0.099644;0.072156
Alta Floresta D'Oeste;1100015;11;razao_moradores;Socioeconômica;True;25;2.688904;0.195571;2.570447;2.673077;2.761905;2.686421
Alta Floresta D'Oeste;1100015;11;pct_analfab;Socioeconômica;True;25;0.082260;0.046099;0.051887;0.071101;0.106061;0.077316
Alta Floresta D'Oeste;1100015;11;renda_media;Socioeconômica;True;25;2659.256800;881.949242;1986.670000;2407.790000;3182.320000;2659.256800
Alta Floresta D'Oeste;1100015;11;pct_raca_pretpardind;Socioeconômica;True;25;0.646368;0.069128;0.615385;0.653543;0.666667;0.642951
Alta Floresta D'Oeste;1100015;11;pct_dom_improv;Morfologia;False;22;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
Alta Floresta D'Oeste;1100015;11;pct_hab_precaria;Morfologia;False;25;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
Alta Floresta D'Oeste;1100015;11;pct_moradia_convencional;Morfologia;False;25;0.998328;0.003680;0.997512;1.000000;1.000000;0.997921
Alta Floresta D'Oeste;1100015;11;pct_moradia_nao_convencional;Morfologia;False;25;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
Alta Floresta D'Oeste;1100015;11;pct_apartamento;Morfologia;False;22;0.001705;0.005622;0.000000;0.000000;0.000000;0.002235
Alta Floresta D'Oeste;1100015;11;pct_casa;Morfologia;False;25;0.996828;0.006825;0.997024;1.000000;1.000000;0.996049
Alta Floresta D'Oeste;1100015;11;pct_casa_vila_condominio;Morfologia;False;20;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
Alta Floresta D'Oeste;1100015;11;pct_sem_agua_canalizada;Saneamento;False;25;0.016307;0.032062;0.000000;0.004673;0.010309;0.987939
Alta Floresta D'Oeste;1100015;11;pct_agua_nao_encanada;Saneamento;False;18;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
Alta Floresta D'Oeste;1100015;11;pct_agua_so_terreno;Saneamento;False;16;0.018256;0.038234;0.000000;0.000000;0.005952;0.014369
Alta Floresta D'Oeste;1100015;11;pct_sem_banheiro;Saneamento;False;19;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
Alta Floresta D'Oeste;1100015;11;pct_sem_banheiro_nem_sanitario;Saneamento;False;22;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
Alta Floresta D'Oeste;1100015;11;pct_resp_feminino;Socioeconômica;False;25;0.550170;0.116916;0.473684;0.577236;0.645390;0.562760
Alta Floresta D'Oeste;1100015;11;pct_crianca_0a4;Demografia;False;25;0.072359;0.017595;0.064309;0.071918;0.077001;0.072539
Alta Floresta D'Oeste;1100015;11;pct_pop_0a14;Demografia;False;25;0.212871;0.030312;0.195312;0.210046;0.235669;0.212822
Alta Floresta D'Oeste;1100015;11;pct_idoso_60mais;Demografia;False;25;0.146733;0.041665;0.123567;0.144977;0.165354;0.143531
Alta Floresta D'Oeste;1100015;11;iep_setor;Demografia;False;25;72.638877;29.825435;52.432432;67.500000;84.000000;67.441860
Alta Floresta D'Oeste;1100015;11;rdi_setor;Demografia;False;25;23.120426;7.199201;19.284294;22.477876;26.213592;22.305011
Alta Floresta D'Oeste;1100015;11;prop_70mais_entre_60mais;Demografia;False;24;43.580564;7.338092;40.638060;42.361111;46.540179;42.586580
Ariquemes;1100023;11;pct_agua_inad;Saneamento;True;124;0.389269;0.230243;0.223988;0.352730;0.536321;0.377442
Ariquemes;1100023;11;pct_esgoto_inad;Saneamento;True;124;0.616449;0.345490;0.321777;0.750449;0.913683;0.627730
Ariquemes;1100023;11;pct_lixo_inad;Saneamento;True;124;0.007914;0.028866;0.000000;0.000000;0.000000;0.005205
Ariquemes;1100023;11;razao_moradores;Socioeconômica;True;124;2.761394;0.202728;2.644551;2.763853;2.885343;2.758869
Ariquemes;1100023;11;pct_analfab;Socioeconômica;True;120;0.052750;0.029324;0.031763;0.048181;0.074233;0.053175
Ariquemes;1100023;11;renda_media;Socioeconômica;True;124;2821.514435;1422.687530;1933.872500;2362.605000;3301.777500;2821.514435
Ariquemes;1100023;11;pct_raca_pretpardind;Socioeconômica;True;124;0.653670;0.102211;0.591137;0.668650;0.729963;0.659119
Ariquemes;1100023;11;pct_dom_improv;Morfologia;False;112;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
Ariquemes;1100023;11;pct_hab_precaria;Morfologia;False;124;0.000069;0.000772;0.000000;0.000000;0.000000;0.000099
Ariquemes;1100023;11;pct_moradia_convencional;Morfologia;False;124;0.996696;0.011993;0.996521;1.000000;1.000000;0.998089
Ariquemes;1100023;11;pct_moradia_nao_convencional;Morfologia;False;124;0.000069;0.000772;0.000000;0.000000;0.000000;0.000099
Ariquemes;1100023;11;pct_apartamento;Morfologia;False;117;0.081952;0.083816;0.027149;0.057325;0.105932;0.073598
Ariquemes;1100023;11;pct_casa;Morfologia;False;124;0.869058;0.149697;0.829451;0.912861;0.959670;0.877425
Ariquemes;1100023;11;pct_casa_vila_condominio;Morfologia;False;102;0.061164;0.141379;0.000000;0.020121;0.059124;0.062251
Ariquemes;1100023;11;pct_sem_agua_canalizada;Saneamento;False;124;0.030925;0.120697;0.000000;0.002528;0.008861;0.974141
Ariquemes;1100023;11;pct_agua_nao_encanada;Saneamento;False;109;0.005371;0.032035;0.000000;0.000000;0.000000;0.007114
Ariquemes;1100023;11;pct_agua_so_terreno;Saneamento;False;91;0.033009;0.135962;0.000000;0.000000;0.008722;0.025493
Ariquemes;1100023;11;pct_sem_banheiro;Saneamento;False;107;0.000454;0.002154;0.000000;0.000000;0.000000;0.000649
Ariquemes;1100023;11;pct_sem_banheiro_nem_sanitario;Saneamento;False;121;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
Ariquemes;1100023;11;pct_resp_feminino;Socioeconômica;False;123;0.512150;0.099374;0.456464;0.514599;0.579114;0.515840
Ariquemes;1100023;11;pct_crianca_0a4;Demografia;False;122;0.069160;0.017101;0.057670;0.069141;0.082427;0.071496
Ariquemes;1100023;11;pct_pop_0a14;Demografia;False;123;0.213605;0.037081;0.188975;0.212346;0.238295;0.218734
Ariquemes;1100023;11;pct_idoso_60mais;Demografia;False;122;0.117419;0.045155;0.082212;0.114853;0.148829;0.110980
Ariquemes;1100023;11;iep_setor;Demografia;False;122;59.602845;33.598899;37.643760;53.614329;77.708333;50.731122
Ariquemes;1100023;11;rdi_setor;Demografia;False;122;17.798573;7.438929;12.177284;17.304589;22.631181;16.558921
Ariquemes;1100023;11;prop_70mais_entre_60mais;Demografia;False;120;40.466062;6.728838;36.163804;40.000000;44.797043;40.695297
Cabixi;1100031;11;pct_agua_inad;Saneamento;True;5;0.322975;0.109773;0.271845;0.346847;0.387454;0.333022
Cabixi;1100031;11;pct_esgoto_inad;Saneamento;True;5;0.791037;0.182766;0.795181;0.846847;0.864078;0.772685
Cabixi;1100031;11;pct_lixo_inad;Saneamento;True;5;0.002214;0.004951;0.000000;0.000000;0.000000;0.002806
Cabixi;1100031;11;razao_moradores;Socioeconômica;True;5;2.684040;0.176766;2.523985;2.665049;2.779412;2.662301
