regiao;indicador;dimensao;componente_ivs;n_setores;media_entre_setores;dp_entre_setores;p25;mediana;p75;razao_agregada
Centro-Oeste;pct_agua_inad;Saneamento;True;25572;0.091088;0.208197;0.000000;0.000000;0.065453;0.074003
Centro-Oeste;pct_esgoto_inad;Saneamento;True;25572;0.228153;0.349070;0.000000;0.017079;0.363297;0.213808
Centro-Oeste;pct_lixo_inad;Saneamento;True;25572;0.065032;0.198254;0.000000;0.000000;0.000000;0.053301
Centro-Oeste;razao_moradores;Socioeconômica;True;25572;2.774931;0.345340;2.584270;2.787690;2.986371;2.779100
Centro-Oeste;pct_analfab;Socioeconômica;True;23421;0.050536;0.040107;0.021978;0.041330;0.069042;0.047827
Centro-Oeste;renda_media;Socioeconômica;True;25571;3696.530155;3241.115422;2040.310000;2620.020000;3813.315000;3696.530155
Centro-Oeste;pct_raca_pretpardind;Socioeconômica;True;25572;0.606839;0.146817;0.525581;0.634011;0.710843;0.618030
Centro-Oeste;pct_dom_improv;Morfologia;False;23510;0.000742;0.013100;0.000000;0.000000;0.000000;0.000623
Centro-Oeste;pct_hab_precaria;Morfologia;False;25572;0.006908;0.034126;0.000000;0.000000;0.000000;0.006896
Centro-Oeste;pct_moradia_convencional;Morfologia;False;25572;0.990658;0.033396;0.993631;1.000000;1.000000;0.991246
Centro-Oeste;pct_moradia_nao_convencional;Morfologia;False;25571;0.006292;0.031836;0.000000;0.000000;0.000000;0.006378
Centro-Oeste;pct_apartamento;Morfologia;False;22748;0.146940;0.298773;0.000000;0.000000;0.091503;0.157416
Centro-Oeste;pct_casa;Morfologia;False;25117;0.846408;0.283761;0.870079;0.980843;1.000000;0.837750
Centro-Oeste;pct_casa_vila_condominio;Morfologia;False;22202;0.032939;0.123669;0.000000;0.000000;0.000000;0.034142
Centro-Oeste;pct_sem_agua_canalizada;Saneamento;False;25557;0.013783;0.065008;0.000000;0.000000;0.005495;0.988062
Centro-Oeste;pct_agua_nao_encanada;Saneamento;False;23069;0.003337;0.035910;0.000000;0.000000;0.000000;0.002524
Centro-Oeste;pct_agua_so_terreno;Saneamento;False;20456;0.010971;0.061015;0.000000;0.000000;0.000000;0.010235
Centro-Oeste;pct_sem_banheiro;Saneamento;False;22612;0.001306;0.022387;0.000000;0.000000;0.000000;0.000823
Centro-Oeste;pct_sem_banheiro_nem_sanitario;Saneamento;False;25000;0.000025;0.001127;0.000000;0.000000;0.000000;0.000022
Centro-Oeste;pct_resp_feminino;Socioeconômica;False;25456;0.487152;0.108403;0.419039;0.493789;0.562138;0.489278
Centro-Oeste;pct_crianca_0a4;Demografia;False;25278;0.066204;0.022540;0.050847;0.064912;0.080436;0.068211
Centro-Oeste;pct_pop_0a14;Demografia;False;25510;0.201203;0.054957;0.166457;0.200984;0.236786;0.208523
Centro-Oeste;pct_idoso_60mais;Demografia;False;25483;0.139381;0.072060;0.084911;0.130028;0.182454;0.128830
Centro-Oeste;iep_setor;Demografia;False;25285;82.803459;77.169167;36.912752;64.705882;106.451613;61.785972
Centro-Oeste;rdi_setor;Demografia;False;25476;22.152310;16.567102;12.432432;19.541425;28.500483;19.446334
Centro-Oeste;prop_70mais_entre_60mais;Demografia;False;24967;40.857807;10.495208;34.177215;40.740741;47.368421;42.478632
Nordeste;pct_agua_inad;Saneamento;True;75119;0.126988;0.242864;0.000000;0.015152;0.114491;0.116121
Nordeste;pct_esgoto_inad;Saneamento;True;75114;0.304583;0.378203;0.000000;0.074074;0.657712;0.291433
Nordeste;pct_lixo_inad;Saneamento;True;75115;0.132649;0.251733;0.000000;0.007833;0.120690;0.122019
Nordeste;razao_moradores;Socioeconômica;True;75119;2.864062;0.306458;2.678571;2.859873;3.044118;2.863135
Nordeste;pct_analfab;Socioeconômica;True;72298;0.115270;0.079182;0.051852;0.101695;0.165487;0.110794
Nordeste;renda_media;Socioeconômica;True;75110;2167.800265;2232.691065;1217.012500;1518.560000;2135.320000;2167.800265
