CD_UF;indicador;dimensao;componente_ivs;n_setores;media_entre_setores;dp_entre_setores;p25;mediana;p75;razao_agregada
11;pct_agua_inad;Saneamento;True;1969;0.424470;0.346824;0.102703;0.352941;0.710383;0.420081
11;pct_esgoto_inad;Saneamento;True;1969;0.538017;0.395224;0.078947;0.650000;0.933921;0.531506
11;pct_lixo_inad;Saneamento;True;1969;0.051729;0.163814;0.000000;0.000000;0.019802;0.038411
11;razao_moradores;Socioeconômica;True;1969;2.823801;0.287081;2.628440;2.797342;3.015385;2.821586
11;pct_analfab;Socioeconômica;True;1901;0.058635;0.037334;0.031690;0.052104;0.078788;0.055371
11;renda_media;Socioeconômica;True;1969;2791.481082;1818.005629;1869.030000;2321.880000;3118.850000;2791.481082
11;pct_raca_pretpardind;Socioeconômica;True;1969;0.682388;0.099832;0.623229;0.693444;0.752363;0.686741
11;pct_dom_improv;Morfologia;False;1763;0.000308;0.003943;0.000000;0.000000;0.000000;0.000212
11;pct_hab_precaria;Morfologia;False;1969;0.001365;0.014807;0.000000;0.000000;0.000000;0.001148
11;pct_moradia_convencional;Morfologia;False;1969;0.995894;0.015765;0.995327;1.000000;1.000000;0.996646
11;pct_moradia_nao_convencional;Morfologia;False;1969;0.001169;0.014468;0.000000;0.000000;0.000000;0.001023
11;pct_apartamento;Morfologia;False;1724;0.094810;0.175679;0.000000;0.031135;0.103370;0.097893
11;pct_casa;Morfologia;False;1956;0.890661;0.189765;0.882599;0.962894;0.993750;0.887139
11;pct_casa_vila_condominio;Morfologia;False;1621;0.034134;0.125018;0.000000;0.000000;0.017094;0.035793
11;pct_sem_agua_canalizada;Saneamento;False;1968;0.034689;0.109151;0.000000;0.004098;0.019753;0.967969
11;pct_agua_nao_encanada;Saneamento;False;1636;0.014395;0.073275;0.000000;0.000000;0.000000;0.014117
11;pct_agua_so_terreno;Saneamento;False;1465;0.027131;0.097236;0.000000;0.000000;0.016216;0.025011
11;pct_sem_banheiro;Saneamento;False;1563;0.004624;0.020968;0.000000;0.000000;0.000000;0.004262
11;pct_sem_banheiro_nem_sanitario;Saneamento;False;1837;0.000226;0.002679;0.000000;0.000000;0.000000;0.000217
11;pct_resp_feminino;Socioeconômica;False;1965;0.495830;0.109819;0.423237;0.500000;0.574324;0.498570
11;pct_crianca_0a4;Demografia;False;1959;0.072142;0.020257;0.058174;0.071090;0.085218;0.072743
11;pct_pop_0a14;Demografia;False;1967;0.218868;0.047322;0.188517;0.216327;0.247570;0.221937
11;pct_idoso_60mais;Demografia;False;1963;0.121622;0.049847;0.085737;0.119730;0.153014;0.115964
11;iep_setor;Demografia;False;1961;62.836829;47.037198;35.211268;54.824561;80.841121;52.253563
11;rdi_setor;Demografia;False;1963;18.689665;8.286245;12.786798;18.122977;23.562286;17.516439
11;prop_70mais_entre_60mais;Demografia;False;1928;39.903845;8.904812;34.146341;40.000000;45.161290;40.137743
12;pct_agua_inad;Saneamento;True;1083;0.339430;0.326171;0.061451;0.212500;0.585310;0.329200
12;pct_esgoto_inad;Saneamento;True;1082;0.417294;0.365912;0.065498;0.311967;0.809066;0.385391
12;pct_lixo_inad;Saneamento;True;1082;0.170400;0.286006;0.000000;0.016854;0.172167;0.155449
12;razao_moradores;Socioeconômica;True;1083;3.069720;0.363025;2.847779;3.027027;3.270135;3.059516
12;pct_analfab;Socioeconômica;True;1056;0.097360;0.056139;0.056135;0.090909;0.133067;0.092683
12;renda_media;Socioeconômica;True;1083;2397.667858;1798.156800;1453.510000;1870.730000;2657.445000;2397.667858
12;pct_raca_pretpardind;Socioeconômica;True;1083;0.759214;0.075479;0.727919;0.771812;0.805082;0.759049
12;pct_dom_improv;Morfologia;False;1008;0.000393;0.005665;0.000000;0.000000;0.000000;0.000286
12;pct_hab_precaria;Morfologia;False;1083;0.008606;0.028960;0.000000;0.000000;0.000000;0.010018
12;pct_moradia_convencional;Morfologia;False;1083;0.988028;0.029345;0.989361;1.000000;1.000000;0.987262
12;pct_moradia_nao_convencional;Morfologia;False;1083;0.008293;0.028472;0.000000;0.000000;0.000000;0.009806
12;pct_apartamento;Morfologia;False;947;0.080162;0.136527;0.000000;0.035714;0.101588;0.087702
12;pct_casa;Morfologia;False;1081;0.904419;0.143620;0.875969;0.952381;0.994152;0.894770
12;pct_casa_vila_condominio;Morfologia;False;919;0.017893;0.065795;0.000000;0.000000;0.000000;0.020378
12;pct_sem_agua_canalizada;Saneamento;False;1083;0.108041;0.143357;0.019293;0.059701;0.139010;0.903397
12;pct_agua_nao_encanada;Saneamento;False;776;0.031803;0.091803;0.000000;0.000000;0.024279;0.024526
12;pct_agua_so_terreno;Saneamento;False;912;0.095363;0.111229;0.022051;0.055175;0.128131;0.088968
12;pct_sem_banheiro;Saneamento;False;863;0.075731;0.112665;0.009232;0.034884;0.093370;0.063231
12;pct_sem_banheiro_nem_sanitario;Saneamento;False;859;0.004827;0.025869;0.000000;0.000000;0.000000;0.003457
12;pct_resp_feminino;Socioeconômica;False;1080;0.543356;0.092182;0.486344;0.548219;0.602241;0.545224
12;pct_crianca_0a4;Demografia;False;1077;0.080312;0.023642;0.063492;0.079840;0.093819;0.079663
12;pct_pop_0a14;Demografia;False;1081;0.249598;0.056305;0.212544;0.250000;0.286408;0.250514
12;pct_idoso_60mais;Demografia;False;1079;0.099482;0.043570;0.069175;0.091657;0.123046;0.097741
12;iep_setor;Demografia;False;1076;45.231067;31.483906;25.312643;36.197351;55.384347;39.015895
12;rdi_setor;Demografia;False;1079;15.460900;7.399278;10.608321;14.099783;18.793975;14.999575
12;prop_70mais_entre_60mais;Demografia;False;1059;42.950877;10.184478;36.363636;43.055556;48.912530;43.245724
13;pct_agua_inad;Saneamento;True;5054;0.245514;0.310313;0.017739;0.098592;0.354134;0.236726
13;pct_esgoto_inad;Saneamento;True;5054;0.436906;0.381335;0.046908;0.357549;0.852510;0.410962
13;pct_lixo_inad;Saneamento;True;5054;0.148943;0.268617;0.000000;0.000000;0.155527;0.128589
13;razao_moradores;Socioeconômica;True;5054;3.584166;0.661817;3.183308;3.477588;3.855459;3.536814
13;pct_analfab;Socioeconômica;True;4702;0.055992;0.051294;0.022864;0.040239;0.071140;0.054401
13;renda_media;Socioeconômica;True;5054;2473.156886;2770.412162;1389.642500;1726.335000;2338.980000;2473.156886
13;pct_raca_pretpardind;Socioeconômica;True;5054;0.785672;0.105654;0.740138;0.796149;0.850622;0.793702
13;pct_dom_improv;Morfologia;False;4619;0.000608;0.010587;0.000000;0.000000;0.000000;0.000446
13;pct_hab_precaria;Morfologia;False;5054;0.006617;0.024620;0.000000;0.000000;0.000000;0.007242
13;pct_moradia_convencional;Morfologia;False;5054;0.989865;0.024125;0.990291;1.000000;1.000000;0.990044
13;pct_moradia_nao_convencional;Morfologia;False;5054;0.006128;0.022705;0.000000;0.000000;0.000000;0.006890
13;pct_apartamento;Morfologia;False;4500;0.124273;0.233884;0.000000;0.040688;0.118925;0.139234
13;pct_casa;Morfologia;False;5009;0.854178;0.231006;0.835681;0.935897;0.989899;0.838580
13;pct_casa_vila_condominio;Morfologia;False;4240;0.038908;0.115196;0.000000;0.000000;0.033812;0.040828
13;pct_sem_agua_canalizada;Saneamento;False;5035;0.062237;0.146143;0.000000;0.009901;0.044734;0.947128
13;pct_agua_nao_encanada;Saneamento;False;3988;0.027071;0.110061;0.000000;0.000000;0.000000;0.020024
13;pct_agua_so_terreno;Saneamento;False;3822;0.051713;0.120410;0.000000;0.000000;0.042536;0.046613
13;pct_sem_banheiro;Saneamento;False;3901;0.056093;0.142443;0.000000;0.000000;0.034653;0.047640
13;pct_sem_banheiro_nem_sanitario;Saneamento;False;4494;0.002352;0.018458;0.000000;0.000000;0.000000;0.002024
