recorte;indicador;dimensao;componente_ivs;n_setores;media_entre_setores;dp_entre_setores;p25;mediana;p75;razao_agregada
Brasil (todos os setores elegíveis);pct_agua_inad;Saneamento;True;450088;0.238367;0.370974;0.000000;0.000000;0.380952;0.156513
Brasil (todos os setores elegíveis);pct_esgoto_inad;Saneamento;True;450076;0.289576;0.394671;0.000000;0.019048;0.679114;0.221999
Brasil (todos os setores elegíveis);pct_lixo_inad;Saneamento;True;450079;0.241166;0.368134;0.000000;0.000000;0.416667;0.164943
Brasil (todos os setores elegíveis);razao_moradores;Socioeconômica;True;450088;2.823758;0.498276;2.571429;2.782051;3.000000;2.789350
Brasil (todos os setores elegíveis);pct_analfab;Socioeconômica;True;405977;0.089795;0.096139;0.024000;0.053640;0.122266;0.074689
Brasil (todos os setores elegíveis);renda_media;Socioeconômica;True;449531;2860.454626;2767.647582;1453.090000;2102.730000;3099.975000;2860.454626
Brasil (todos os setores elegíveis);pct_raca_pretpardind;Socioeconômica;True;450082;0.556060;0.245089;0.362661;0.597505;0.751479;0.560236
Brasil (todos os setores elegíveis);pct_dom_improv;Morfologia;False;424268;0.000585;0.012771;0.000000;0.000000;0.000000;0.000495
Brasil (todos os setores elegíveis);pct_hab_precaria;Morfologia;False;450088;0.002987;0.027344;0.000000;0.000000;0.000000;0.003153
Brasil (todos os setores elegíveis);pct_moradia_convencional;Morfologia;False;450087;0.993382;0.043760;0.996633;1.000000;1.000000;0.994998
Brasil (todos os setores elegíveis);pct_moradia_nao_convencional;Morfologia;False;450087;0.003777;0.041362;0.000000;0.000000;0.000000;0.002851
Brasil (todos os setores elegíveis);pct_apartamento;Morfologia;False;413233;0.137523;0.290900;0.000000;0.000000;0.072816;0.163245
Brasil (todos os setores elegíveis);pct_casa;Morfologia;False;442578;0.859894;0.277538;0.896552;0.992754;1.000000;0.837752
Brasil (todos os setores elegíveis);pct_casa_vila_condominio;Morfologia;False;405031;0.023971;0.102663;0.000000;0.000000;0.000000;0.027192
Brasil (todos os setores elegíveis);pct_sem_agua_canalizada;Saneamento;False;447417;0.066959;0.181886;0.000000;0.000000;0.021739;0.958389
Brasil (todos os setores elegíveis);pct_agua_nao_encanada;Saneamento;False;394481;0.042392;0.156352;0.000000;0.000000;0.000000;0.023263
Brasil (todos os setores elegíveis);pct_agua_so_terreno;Saneamento;False;373826;0.036235;0.115908;0.000000;0.000000;0.000000;0.025015
Brasil (todos os setores elegíveis);pct_sem_banheiro;Saneamento;False;385939;0.041510;0.147382;0.000000;0.000000;0.000000;0.020859
Brasil (todos os setores elegíveis);pct_sem_banheiro_nem_sanitario;Saneamento;False;420151;0.011814;0.079284;0.000000;0.000000;0.000000;0.004815
Brasil (todos os setores elegíveis);pct_resp_feminino;Socioeconômica;False;443095;0.474320;0.141855;0.397136;0.494444;0.571429;0.491966
Brasil (todos os setores elegíveis);pct_crianca_0a4;Demografia;False;436522;0.062486;0.027160;0.045031;0.059524;0.076149;0.062866
Brasil (todos os setores elegíveis);pct_pop_0a14;Demografia;False;447937;0.192556;0.066577;0.151844;0.189591;0.229075;0.197790
Brasil (todos os setores elegíveis);pct_idoso_60mais;Demografia;False;446136;0.169023;0.082539;0.110032;0.160757;0.219178;0.158311
Brasil (todos os setores elegíveis);iep_setor;Demografia;False;440247;111.476257;110.524643;48.795181;83.870968;139.215686;80.063083
Brasil (todos os setores elegíveis);rdi_setor;Demografia;False;445819;27.964157;19.234094;16.666667;25.000000;35.632184;24.606728
Brasil (todos os setores elegíveis);prop_70mais_entre_60mais;Demografia;False;430841;43.515146;11.762416;36.363636;43.478261;50.000000;44.565806
Brasil (apenas urbanos);pct_agua_inad;Saneamento;True;347400;0.095924;0.229039;0.000000;0.000000;0.044118;0.083127
Brasil (apenas urbanos);pct_esgoto_inad;Saneamento;True;347391;0.161540;0.303885;0.000000;0.000000;0.128503;0.154526
Brasil (apenas urbanos);pct_lixo_inad;Saneamento;True;347391;0.101927;0.234918;0.000000;0.000000;0.048583;0.093982
Brasil (apenas urbanos);razao_moradores;Socioeconômica;True;347400;2.755520;0.371015;2.547468;2.752757;2.956291;2.762337
Brasil (apenas urbanos);pct_analfab;Socioeconômica;True;309256;0.059300;0.059690;0.019139;0.040000;0.077899;0.058369
Brasil (apenas urbanos);renda_media;Socioeconômica;True;347364;3208.880734;3005.793210;1679.997500;2312.820000;3438.045000;3208.880734
Brasil (apenas urbanos);pct_raca_pretpardind;Socioeconômica;True;347396;0.524148;0.230857;0.337052;0.560025;0.714618;0.544252
Brasil (apenas urbanos);pct_dom_improv;Morfologia;False;327530;0.000497;0.012186;0.000000;0.000000;0.000000;0.000427
Brasil (apenas urbanos);pct_hab_precaria;Morfologia;False;347400;0.003445;0.028809;0.000000;0.000000;0.000000;0.003367
Brasil (apenas urbanos);pct_moradia_convencional;Morfologia;False;347399;0.993993;0.028136;0.995392;1.000000;1.000000;0.994768
Brasil (apenas urbanos);pct_moradia_nao_convencional;Morfologia;False;347399;0.003038;0.026372;0.000000;0.000000;0.000000;0.003005
Brasil (apenas urbanos);pct_apartamento;Morfologia;False;312866;0.181463;0.322136;0.000000;0.000000;0.163717;0.186351
Brasil (apenas urbanos);pct_casa;Morfologia;False;340063;0.820827;0.303298;0.817568;0.975827;1.000000;0.816764
Brasil (apenas urbanos);pct_casa_vila_condominio;Morfologia;False;307460;0.030591;0.115225;0.000000;0.000000;0.000000;0.030628
Brasil (apenas urbanos);pct_sem_agua_canalizada;Saneamento;False;347186;0.021788;0.082550;0.000000;0.000000;0.007634;0.980313
Brasil (apenas urbanos);pct_agua_nao_encanada;Saneamento;False;307827;0.008635;0.055657;0.000000;0.000000;0.000000;0.007566
Brasil (apenas urbanos);pct_agua_so_terreno;Saneamento;False;289265;0.014369;0.063979;0.000000;0.000000;0.000000;0.013781
Brasil (apenas urbanos);pct_sem_banheiro;Saneamento;False;300578;0.005719;0.036788;0.000000;0.000000;0.000000;0.005262
Brasil (apenas urbanos);pct_sem_banheiro_nem_sanitario;Saneamento;False;331902;0.000405;0.006848;0.000000;0.000000;0.000000;0.000340
Brasil (apenas urbanos);pct_resp_feminino;Socioeconômica;False;346034;0.507836;0.107945;0.440367;0.515625;0.581818;0.509958
Brasil (apenas urbanos);pct_crianca_0a4;Demografia;False;340915;0.060003;0.023163;0.044017;0.058052;0.073879;0.061895
Brasil (apenas urbanos);pct_pop_0a14;Demografia;False;346371;0.186925;0.058238;0.149321;0.186000;0.223555;0.194874
Brasil (apenas urbanos);pct_idoso_60mais;Demografia;False;346054;0.167889;0.082439;0.107356;0.158137;0.218241;0.156899
Brasil (apenas urbanos);iep_setor;Demografia;False;343058;113.599978;112.732091;48.648649;84.403670;142.372881;80.510511
Brasil (apenas urbanos);rdi_setor;Demografia;False;345939;27.367052;19.173890;16.027088;24.297521;35.040431;24.214384
Brasil (apenas urbanos);prop_70mais_entre_60mais;Demografia;False;338785;42.914726;10.819735;36.111111;43.010753;50.000000;44.438219
ELSI 70 municípios (apenas urbanos);pct_agua_inad;Saneamento;True;104108;0.069611;0.197387;0.000000;0.000000;0.011811;0.068738
ELSI 70 municípios (apenas urbanos);pct_esgoto_inad;Saneamento;True;104107;0.081958;0.214264;0.000000;0.000000;0.018182;0.079689
ELSI 70 municípios (apenas urbanos);pct_lixo_inad;Saneamento;True;104108;0.115803;0.252369;0.000000;0.000000;0.059406;0.113636
ELSI 70 municípios (apenas urbanos);razao_moradores;Socioeconômica;True;104108;2.690929;0.389898;2.478947;2.712644;2.926108;2.694850
ELSI 70 municípios (apenas urbanos);pct_analfab;Socioeconômica;True;87556;0.036433;0.035185;0.012658;0.027094;0.049869;0.036032
ELSI 70 municípios (apenas urbanos);renda_media;Socioeconômica;True;104096;4187.409358;4150.656169;1752.477500;2572.390000;4835.885000;4187.409358
ELSI 70 municípios (apenas urbanos);pct_raca_pretpardind;Socioeconômica;True;104106;0.526744;0.228335;0.352626;0.571906;0.704380;0.550513
ELSI 70 municípios (apenas urbanos);pct_dom_improv;Morfologia;False;98969;0.000726;0.016296;0.000000;0.000000;0.000000;0.000670
ELSI 70 municípios (apenas urbanos);pct_hab_precaria;Morfologia;False;104108;0.006537;0.042497;0.000000;0.000000;0.000000;0.006306
ELSI 70 municípios (apenas urbanos);pct_moradia_convencional;Morfologia;False;104108;0.990965;0.040525;0.994083;1.000000;1.000000;0.991873
ELSI 70 municípios (apenas urbanos);pct_moradia_nao_convencional;Morfologia;False;104108;0.005922;0.039490;0.000000;0.000000;0.000000;0.005713
ELSI 70 municípios (apenas urbanos);pct_apartamento;Morfologia;False;95005;0.314759;0.404848;0.000000;0.052133;0.760870;0.314656
ELSI 70 municípios (apenas urbanos);pct_casa;Morfologia;False;99642;0.694712;0.379734;0.383750;0.914414;0.993789;0.692867
ELSI 70 municípios (apenas urbanos);pct_casa_vila_condominio;Morfologia;False;91304;0.044262;0.129730;0.000000;0.000000;0.021944;0.045896
ELSI 70 municípios (apenas urbanos);pct_sem_agua_canalizada;Saneamento;False;104067;0.014965;0.068538;0.000000;0.000000;0.004808;0.986233
ELSI 70 municípios (apenas urbanos);pct_agua_nao_encanada;Saneamento;False;94402;0.004700;0.040561;0.000000;0.000000;0.000000;0.004263
ELSI 70 municípios (apenas urbanos);pct_agua_so_terreno;Saneamento;False;88211;0.010505;0.057620;0.000000;0.000000;0.000000;0.010106
ELSI 70 municípios (apenas urbanos);pct_sem_banheiro;Saneamento;False;91912;0.002346;0.021435;0.000000;0.000000;0.000000;0.002082
ELSI 70 municípios (apenas urbanos);pct_sem_banheiro_nem_sanitario;Saneamento;False;101139;0.000160;0.004922;0.000000;0.000000;0.000000;0.000119
ELSI 70 municípios (apenas urbanos);pct_resp_feminino;Socioeconômica;False;103961;0.528130;0.089506;0.473958;0.533898;0.588000;0.528034
ELSI 70 municípios (apenas urbanos);pct_crianca_0a4;Demografia;False;102288;0.054103;0.022080;0.038513;0.052083;0.067151;0.055721
ELSI 70 municípios (apenas urbanos);pct_pop_0a14;Demografia;False;103850;0.172590;0.057872;0.134211;0.171946;0.209756;0.179662
ELSI 70 municípios (apenas urbanos);pct_idoso_60mais;Demografia;False;103823;0.175320;0.084956;0.111111;0.165736;0.230658;0.166524
ELSI 70 municípios (apenas urbanos);iep_setor;Demografia;False;103116;134.660824;141.594355;53.846154;96.296296;169.565217;92.692303
ELSI 70 municípios (apenas urbanos);rdi_setor;Demografia;False;103810;28.120644;16.860665;16.310801;25.161290;36.769520;25.476933
ELSI 70 municípios (apenas urbanos);prop_70mais_entre_60mais;Demografia;False;101972;42.671853;10.983730;35.570470;42.857143;50.000000;44.646310
